name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group	description	status	status_description
G03	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G04	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G05	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G06	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G07	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G08	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G09	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G10	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G11	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G12	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G13	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G14	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G15	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G16	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G17	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G18	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G19	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G20	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G21	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G22	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G23	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G24	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G25	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G26	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G27	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G28	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G29	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G30	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G31	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G32	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G33	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G34	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G35	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G36	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G37	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G38	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G39	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G40	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G41	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G42	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G43	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G44	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G45	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G46	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G47	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G48	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G49	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G50	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G51	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G52	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G53	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G54	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G55	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G56	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G57	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G58	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G59	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G60	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G61	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G62	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G63	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G64	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
IO01	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
IO02	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
IO03	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
IO04	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
MO01	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
MO02	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
MO03	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
MO04	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
SF01	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
SF02	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
SF04	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
SF05	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
SF07	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
SF08	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
MF01	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
MF02	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
MF04	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
MF05	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
MF07	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	bad	spikes
MF08	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	bad	spikes
IF01	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
IF02	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
IF04	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
IF05	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
IF07	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
IF08	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
T01	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
T02	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
T03	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
T04	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
T05	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
T06	ECOG	microV	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
DAIL01	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DAIL02	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DAIL03	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DAIL04	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DAIL07	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DAIL08	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	bad	spikes
DPIL01	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DPIL02	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	bad	spikes
DPIL03	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DPIL04	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DPIL05	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DPIL06	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DPSL01	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DPSL02	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DPSL04	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DPSL05	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DASL01	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DASL02	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DASL03	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DASL04	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DASL05	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DASL06	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DLPA01	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DLPA02	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DLPA03	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DLPA04	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DLPA05	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DLPA06	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DLPA07	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
DLPA08	SEEG	microV	500	0.15	512	n/a	n/a	depth	n/a	good	n/a
SG01	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	spikes
SG06	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	spikes
EKG1	ECG	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
EKG2	ECG	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DCEMBRACE	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC2	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC3	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC4	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC5	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC6	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC7	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC8	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC9	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC10	TRIG	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DCTCSPO2	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DCTCCO2	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
