name	x	y	z	size	type	material	manufacturer	group	hemisphere
G03	-34.99823	-77.663277	38.66972	2.3	surface	platinum	AdTech	grid	L
G04	-37.498383	-77.870346	29.396381	2.3	surface	platinum	AdTech	grid	L
G05	-37.667027	-76.954811	19.125576	2.3	surface	platinum	AdTech	grid	L
G06	-41.238201	-77.233803	10.40961	2.3	surface	platinum	AdTech	grid	L
G07	-45.297207	-78.216805	1.422728	2.3	surface	platinum	AdTech	grid	L
G08	-45.699547	-76.992111	-7.69242	2.3	surface	platinum	AdTech	grid	L
G09	-28.119219	-66.649811	57.426617	2.3	surface	platinum	AdTech	grid	L
G10	-33.682175	-67.693665	49.277264	2.3	surface	platinum	AdTech	grid	L
G11	-38.111675	-68.499916	40.291679	2.3	surface	platinum	AdTech	grid	L
G12	-37.897289	-67.075371	29.955645	2.3	surface	platinum	AdTech	grid	L
G13	-40.181992	-67.071205	20.518467	2.3	surface	platinum	AdTech	grid	L
G14	-47.846355	-69.701447	12.708386	2.3	surface	platinum	AdTech	grid	L
G15	-50.947292	-69.894226	3.545032	2.3	surface	platinum	AdTech	grid	L
G16	-51.003048	-68.941216	-6.430346	2.3	surface	platinum	AdTech	grid	L
G17	-31.283777	-57.319492	58.000359	2.3	surface	platinum	AdTech	grid	L
G18	-36.284393	-57.852177	49.945866	2.3	surface	platinum	AdTech	grid	L
G19	-41.224083	-59.148785	40.977322	2.3	surface	platinum	AdTech	grid	L
G20	-42.215778	-58.745502	30.883589	2.3	surface	platinum	AdTech	grid	L
G21	-44.312511	-58.625561	22.217081	2.3	surface	platinum	AdTech	grid	L
G22	-50.452648	-60.014435	13.405108	2.3	surface	platinum	AdTech	grid	L
G23	-55.702251	-61.149422	5.177753	2.3	surface	platinum	AdTech	grid	L
G24	-56.722717	-61.13895	-4.731376	2.3	surface	platinum	AdTech	grid	L
G25	-34.728752	-48.309143	59.59779	2.3	surface	platinum	AdTech	grid	L
G26	-42.591656	-49.985104	52.655418	2.3	surface	platinum	AdTech	grid	L
G27	-47.462597	-50.919044	43.878887	2.3	surface	platinum	AdTech	grid	L
G28	-51.806465	-51.383942	34.7323	2.3	surface	platinum	AdTech	grid	L
G29	-53.692272	-51.117184	25.074375	2.3	surface	platinum	AdTech	grid	L
G30	-56.955021	-52.393864	15.852951	2.3	surface	platinum	AdTech	grid	L
G31	-60.614567	-52.28159	6.604061	2.3	surface	platinum	AdTech	grid	L
G32	-60.48061	-51.94347	-3.152106	2.3	surface	platinum	AdTech	grid	L
G33	-35.154377	-37.979454	59.663509	2.3	surface	platinum	AdTech	grid	L
G34	-44.4818	-40.262569	52.894581	2.3	surface	platinum	AdTech	grid	L
G35	-51.825207	-41.803886	44.732948	2.3	surface	platinum	AdTech	grid	L
G36	-55.937492	-42.011024	36.453152	2.3	surface	platinum	AdTech	grid	L
G37	-58.699215	-42.22401	27.124277	2.3	surface	platinum	AdTech	grid	L
G38	-60.027855	-42.831085	16.52767	2.3	surface	platinum	AdTech	grid	L
G39	-62.711758	-42.651428	7.507763	2.3	surface	platinum	AdTech	grid	L
G40	-64.196022	-42.627258	-2.114131	2.3	surface	platinum	AdTech	grid	L
G41	-38.468266	-28.307791	61.132214	2.3	surface	platinum	AdTech	grid	L
G42	-47.060253	-30.18412	53.908108	2.3	surface	platinum	AdTech	grid	L
G43	-53.331947	-31.913744	45.988121	2.3	surface	platinum	AdTech	grid	L
G44	-58.792656	-32.75856	37.418766	2.3	surface	platinum	AdTech	grid	L
G45	-62.421448	-33.157795	27.91527	2.3	surface	platinum	AdTech	grid	L
G46	-62.981606	-33.373829	18.005571	2.3	surface	platinum	AdTech	grid	L
G47	-64.529137	-33.063725	7.939496	2.3	surface	platinum	AdTech	grid	L
G48	-66.218575	-33.134632	-1.235968	2.3	surface	platinum	AdTech	grid	L
G49	-36.364647	-17.952019	59.668571	2.3	surface	platinum	AdTech	grid	L
G50	-47.336025	-20.559742	53.807026	2.3	surface	platinum	AdTech	grid	L
G51	-54.063496	-21.498159	46.325306	2.3	surface	platinum	AdTech	grid	L
G52	-58.746994	-22.724211	37.137337	2.3	surface	platinum	AdTech	grid	L
G53	-62.912148	-22.832455	28.174097	2.3	surface	platinum	AdTech	grid	L
G54	-64.398643	-23.649565	18.157131	2.3	surface	platinum	AdTech	grid	L
G55	-65.381569	-23.823843	9.19328	2.3	surface	platinum	AdTech	grid	L
G56	-66.817863	-23.509363	-0.325443	2.3	surface	platinum	AdTech	grid	L
G57	-35.484951	-8.246577	59.031288	2.3	surface	platinum	AdTech	grid	L
G58	-43.262329	-9.68813	51.878948	2.3	surface	platinum	AdTech	grid	L
G59	-52.137917	-11.144662	45.119507	2.3	surface	platinum	AdTech	grid	L
G60	-58.237789	-12.467655	37.285446	2.3	surface	platinum	AdTech	grid	L
G61	-61.9883	-12.839087	28.221014	2.3	surface	platinum	AdTech	grid	L
G62	-64.218391	-13.417955	19.049166	2.3	surface	platinum	AdTech	grid	L
G63	-65.491325	-13.266207	8.957864	2.3	surface	platinum	AdTech	grid	L
G64	-65.936951	-13.646701	-0.839604	2.3	surface	platinum	AdTech	grid	L
IO01	-24.961313	-41.822956	-16.610981	2.3	surface	platinum	AdTech	strip	L
IO02	-31.420965	-48.215023	-19.664017	2.3	surface	platinum	AdTech	strip	L
IO03	-37.473125	-54.733746	-20.618601	2.3	surface	platinum	AdTech	strip	L
IO04	-44.282715	-61.972145	-19.356291	2.3	surface	platinum	AdTech	strip	L
MO01	-8.564771	-101.531281	4.455244	2.3	surface	platinum	AdTech	strip	L
MO02	-16.924646	-99.594421	10.665995	2.3	surface	platinum	AdTech	strip	L
MO03	-24.790844	-95.506332	16.111578	2.3	surface	platinum	AdTech	strip	L
MO04	-31.132414	-90.706131	21.206133	2.3	surface	platinum	AdTech	strip	L
SF01	-13.067648	65.296852	32.88105	2.3	surface	platinum	AdTech	strip	L
SF02	-17.972521	57.623207	39.064644	2.3	surface	platinum	AdTech	strip	L
SF04	-24.434248	42.268353	47.854267	2.3	surface	platinum	AdTech	strip	L
SF05	-28.715511	32.578648	50.973438	2.3	surface	platinum	AdTech	strip	L
SF07	-34.616703	14.476138	57.563599	2.3	surface	platinum	AdTech	strip	L
SF08	-36.473763	4.738392	58.378101	2.3	surface	platinum	AdTech	strip	L
MF01	-25.067554	55.96619	36.312248	2.3	surface	platinum	AdTech	strip	L
MF02	-28.86404	48.26236	40.439209	2.3	surface	platinum	AdTech	strip	L
MF04	-37.362991	30.673555	45.306198	2.3	surface	platinum	AdTech	strip	L
MF05	-39.930489	21.485889	49.082264	2.3	surface	platinum	AdTech	strip	L
MF07	-44.109516	2.094655	52.900764	2.3	surface	platinum	AdTech	strip	L
MF08	-41.124241	-7.720502	52.900318	2.3	surface	platinum	AdTech	strip	L
IF01	-42.849972	53.145168	19.653147	2.3	surface	platinum	AdTech	strip	L
IF02	-45.018051	44.341484	24.651768	2.3	surface	platinum	AdTech	strip	L
IF04	-50.12265	26.830627	33.553642	2.3	surface	platinum	AdTech	strip	L
IF05	-51.477581	16.42264	35.812599	2.3	surface	platinum	AdTech	strip	L
IF07	-52.527851	-1.857244	41.730839	2.3	surface	platinum	AdTech	strip	L
IF08	-52.545353	-10.67922	44.755711	2.3	surface	platinum	AdTech	strip	L
T01	-43.237732	20.507113	-30.092754	2.3	surface	platinum	AdTech	strip	L
T02	-50.844055	14.652735	-27.57617	2.3	surface	platinum	AdTech	strip	L
T03	-56.030804	6.607521	-23.665543	2.3	surface	platinum	AdTech	strip	L
T04	-61.403919	0.123125	-20.98399	2.3	surface	platinum	AdTech	strip	L
T05	-65.293266	-8.299254	-16.02087	2.3	surface	platinum	AdTech	strip	L
T06	-66.571434	-17.227278	-12.310759	2.3	surface	platinum	AdTech	strip	L
DAIL01	-7	-49	22	2.3	depth	platinum	AdTech	depth	L
DAIL02	-11.857143	-49.428571	21.571429	2.3	depth	platinum	AdTech	depth	L
DAIL03	-16.714286	-49.857143	21.142857	2.3	depth	platinum	AdTech	depth	L
DAIL04	-21.571429	-50.285714	20.714286	2.3	depth	platinum	AdTech	depth	L
DAIL07	-36.142857	-51.571429	19.428571	2.3	depth	platinum	AdTech	depth	L
DAIL08	-41	-52	19	2.3	depth	platinum	AdTech	depth	L
DPIL01	-7	-76	31	2.3	depth	platinum	AdTech	depth	L
DPIL02	-12	-76.8	30.8	2.3	depth	platinum	AdTech	depth	L
DPIL03	-17	-77.6	30.6	2.3	depth	platinum	AdTech	depth	L
DPIL04	-22	-78.4	30.4	2.3	depth	platinum	AdTech	depth	L
DPIL05	-27	-79.2	30.2	2.3	depth	platinum	AdTech	depth	L
DPIL06	-32	-80	30	2.3	depth	platinum	AdTech	depth	L
DPSL01	-8	-61	41	2.3	depth	platinum	AdTech	depth	L
DPSL02	-11.25	-62.5	44.5	2.3	depth	platinum	AdTech	depth	L
DPSL04	-17.75	-65.5	51.5	2.3	depth	platinum	AdTech	depth	L
DPSL05	-21	-67	55	2.3	depth	platinum	AdTech	depth	L
DASL01	-10	-35	51	2.3	depth	platinum	AdTech	depth	L
DASL02	-14.6	-36.8	51.2	2.3	depth	platinum	AdTech	depth	L
DASL03	-19.2	-38.6	51.4	2.3	depth	platinum	AdTech	depth	L
DASL04	-23.8	-40.4	51.6	2.3	depth	platinum	AdTech	depth	L
DASL05	-28.4	-42.2	51.8	2.3	depth	platinum	AdTech	depth	L
DASL06	-33	-44	52	2.3	depth	platinum	AdTech	depth	L
DLPA01	-33	-37	26	2.3	depth	platinum	AdTech	depth	L
DLPA02	-32.428571	-41.714286	26.571429	2.3	depth	platinum	AdTech	depth	L
DLPA03	-31.857143	-46.428571	27.142857	2.3	depth	platinum	AdTech	depth	L
DLPA04	-31.285714	-51.142857	27.714286	2.3	depth	platinum	AdTech	depth	L
DLPA05	-30.714286	-55.857143	28.285714	2.3	depth	platinum	AdTech	depth	L
DLPA06	-30.142857	-60.571429	28.857143	2.3	depth	platinum	AdTech	depth	L
DLPA07	-29.571429	-65.285714	29.428571	2.3	depth	platinum	AdTech	depth	L
DLPA08	-29	-70	30	2.3	depth	platinum	AdTech	depth	L
