name	x	y	z	size	type	material	manufacturer	group	hemisphere
G01	-55.807262	19.033417	0.306874	2.3	surface	platinum	AdTech	grid	L
G02	-55.94315	19.791288	11.14359	2.3	surface	platinum	AdTech	grid	L
G03	-55.383518	19.959784	22.030529	2.3	surface	platinum	AdTech	grid	L
G04	-52.481468	19.821663	32.156452	2.3	surface	platinum	AdTech	grid	L
G05	-46.05468	19.92734	40.270664	2.3	surface	platinum	AdTech	grid	L
G06	-40.698841	20.041277	49.148914	2.3	surface	platinum	AdTech	grid	L
G07	-33.596706	18.94063	56.309261	2.3	surface	platinum	AdTech	grid	L
G08	-25.645355	18.570448	62.223145	2.3	surface	platinum	AdTech	grid	L
G09	-59.763081	9.19938	1.36343	2.3	surface	platinum	AdTech	grid	L
G10	-57.615612	9.606209	11.630511	2.3	surface	platinum	AdTech	grid	L
G11	-56.560841	9.517874	22.412371	2.3	surface	platinum	AdTech	grid	L
G12	-53.788761	9.166333	33.014492	2.3	surface	platinum	AdTech	grid	L
G13	-48.798904	9.322179	42.524895	2.3	surface	platinum	AdTech	grid	L
G14	-40.702141	9.604309	49.753139	2.3	surface	platinum	AdTech	grid	L
G15	-32.839657	9.501599	56.41217	2.3	surface	platinum	AdTech	grid	L
G16	-25.820324	9.170101	63.120834	2.3	surface	platinum	AdTech	grid	L
G17	-62.783855	-1.012383	2.179134	2.3	surface	platinum	AdTech	grid	L
G18	-59.816479	-0.971469	12.325386	2.3	surface	platinum	AdTech	grid	L
G19	-57.66153	-1.102862	23.341354	2.3	surface	platinum	AdTech	grid	L
G20	-53.862862	-1.197338	33.075085	2.3	surface	platinum	AdTech	grid	L
G21	-46.477688	-1.149083	41.552402	2.3	surface	platinum	AdTech	grid	L
G22	-39.148228	-0.719733	48.258877	2.3	surface	platinum	AdTech	grid	L
G23	-33.217979	-0.662938	57.43689	2.3	surface	platinum	AdTech	grid	L
G24	-26.073587	-0.867975	63.635189	2.3	surface	platinum	AdTech	grid	L
G25	-63.357677	-11.98402	2.339187	2.3	surface	platinum	AdTech	grid	L
G26	-57.791718	-11.526119	11.710743	2.3	surface	platinum	AdTech	grid	L
G27	-52.234627	-11.497661	20.500383	2.3	surface	platinum	AdTech	grid	L
G28	-45.585911	-11.106597	28.262339	2.3	surface	platinum	AdTech	grid	L
G29	-37.994175	-10.348938	36.301903	2.3	surface	platinum	AdTech	grid	L
G30	-35.227795	-11.031771	45.840904	2.3	surface	platinum	AdTech	grid	L
G31	-31.310303	-10.695636	55.915581	2.3	surface	platinum	AdTech	grid	L
G32	-25.045315	-10.240727	63.12859	2.3	surface	platinum	AdTech	grid	L
G33	-63.02124	-22.962706	2.788537	2.3	surface	platinum	AdTech	grid	L
G34	-58.081661	-22.667183	11.373635	2.3	surface	platinum	AdTech	grid	L
G35	-50.065639	-21.253056	19.231375	2.3	surface	platinum	AdTech	grid	L
G36	-40.414341	-20.650362	25.533482	2.3	surface	platinum	AdTech	grid	L
G37	-34.573673	-19.776012	33.123432	2.3	surface	platinum	AdTech	grid	L
G38	-31.684841	-19.844519	43.476067	2.3	surface	platinum	AdTech	grid	L
G39	-26.132172	-19.584805	52.132446	2.3	surface	platinum	AdTech	grid	L
G40	-23.28686	-19.530313	62.037952	2.3	surface	platinum	AdTech	grid	L
