name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group	description	status	status_description
G01	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G02	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G03	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G04	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G05	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G06	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G07	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G08	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G09	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G10	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G11	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G12	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G13	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G14	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G15	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G16	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G17	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G18	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G19	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G20	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G21	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G22	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G23	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G24	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G25	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G26	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G27	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G28	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G29	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G30	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G31	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G32	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G33	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G34	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G35	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G36	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G37	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G38	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G39	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G40	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G41	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G42	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G43	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G44	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G45	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G46	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G47	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G48	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
AT01	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
AT02	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
AT03	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
AT04	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
PT01	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
PT02	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
PT03	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
PT04	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
DAM01	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DAM02	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DAM03	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DAM04	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPM01	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPM02	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPM03	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPM04	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPM05	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DPM06	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPM07	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPM08	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DAI01	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DAI02	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DAI03	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DAI04	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPI01	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPI02	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPI03	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPI04	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	bad	spikes
SG1	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
SG2	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
SG3	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
SG4	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
SG5	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
SG6	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
EKGR	ECG	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
EKGL	ECG	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC1	TRIG	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC2	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC3	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC4	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC5	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC6	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC7	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
