name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group	description	status	status_description
GA01	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA02	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA03	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA04	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA05	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA06	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA07	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA08	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	bad	spikes
GA09	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	bad	spikes
GA10	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA11	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA12	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA13	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA14	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA15	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA16	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA17	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	bad	spikes
GA18	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA19	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA20	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA21	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA22	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA23	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA24	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA25	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA26	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA27	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA28	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA29	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA30	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA31	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA32	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA33	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	bad	spikes
GA34	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	bad	spikes
GA35	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA36	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA37	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
GA38	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
