name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group	description	status	status_description
O01	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
O02	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
O03	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
O04	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LO01	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LO02	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LO03	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LO04	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LT01	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LT02	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LT03	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LT04	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LOT01	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LOT02	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LOT03	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LOT04	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LOT05	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LOT06	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LOT07	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LOT08	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFI01	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFI02	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFI03	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFI04	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFI05	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFI06	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFI07	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFI08	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFI09	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFI10	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFS01	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFS02	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFS03	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFS04	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFS05	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFS06	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFS07	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFS08	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFS09	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPFS10	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LP01	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	bad	outofrange
LP02	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LP03	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LP04	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LP05	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LP06	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LP07	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LP08	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
DLMT01	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLMT02	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLMT03	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLMT04	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLMT05	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLMT06	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLMT07	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLMT08	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLII01	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLII02	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLII03	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLII04	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLII05	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLII06	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLII07	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLII08	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLII09	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLII10	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLSI01	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLSI02	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLSI03	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLSI04	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLSI05	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLSI06	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLSI07	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLSI08	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLSI09	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLSI10	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLSL01	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	bad	outofrange
DLSL02	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLSL03	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLSL04	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLSL05	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLSL06	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLSL07	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLSL08	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	bad	outofrange
DLSL09	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLSL10	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLIL01	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLIL02	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLIL03	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLIL04	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLIL05	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLIL06	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLIL07	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLIL08	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
SG1	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
SG2	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
SG3	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
SG4	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
SG5	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
