name	x	y	z	size	type	material	manufacturer	group	hemisphere
G01	-44.364983	-85.885208	-4.968913	2.3	surface	platinum	AdTech	grid	L
G02	-50.26582	-78.63208	-6.693485	2.3	surface	platinum	AdTech	grid	L
G03	-51.595287	-69.657463	-8.59237	2.3	surface	platinum	AdTech	grid	L
G04	-58.835182	-61.605377	-10.19079	2.3	surface	platinum	AdTech	grid	L
G05	-60.859589	-52.655373	-12.195689	2.3	surface	platinum	AdTech	grid	L
G06	-64.022614	-43.032444	-13.760931	2.3	surface	platinum	AdTech	grid	L
G07	-67.696304	-33.141552	-15.562004	2.3	surface	platinum	AdTech	grid	L
G08	-53.362946	-24.120285	-13.899426	2.3	surface	platinum	AdTech	grid	L
G09	-44.280773	-84.777161	4.019859	2.3	surface	platinum	AdTech	grid	L
G10	-50.961979	-76.948776	2.525873	2.3	surface	platinum	AdTech	grid	L
G11	-53.502686	-68.320152	1.088093	2.3	surface	platinum	AdTech	grid	L
G12	-60.139339	-59.324795	-0.407389	2.3	surface	platinum	AdTech	grid	L
G13	-63.23864	-49.546837	-1.836814	2.3	surface	platinum	AdTech	grid	L
G14	-65.497833	-39.150108	-2.887014	2.3	surface	platinum	AdTech	grid	L
G15	-66.108437	-29.244947	-4.386823	2.3	surface	platinum	AdTech	grid	L
G16	-52.947781	-20.791409	-3.763358	2.3	surface	platinum	AdTech	grid	L
G17	-43.924854	-82.947365	12.659304	2.3	surface	platinum	AdTech	grid	L
G18	-50.926456	-75.370117	12.012535	2.3	surface	platinum	AdTech	grid	L
G19	-55.421848	-66.053963	11.306522	2.3	surface	platinum	AdTech	grid	L
G20	-60.74947	-56.251392	9.979307	2.3	surface	platinum	AdTech	grid	L
G21	-62.993343	-46.604256	8.874876	2.3	surface	platinum	AdTech	grid	L
G22	-62.943516	-35.784534	7.549043	2.3	surface	platinum	AdTech	grid	L
G23	-62.694031	-26.050968	6.536431	2.3	surface	platinum	AdTech	grid	L
G24	-61.393555	-15.942055	6.042615	2.3	surface	platinum	AdTech	grid	L
G25	-42.640038	-81.086197	22.017933	2.3	surface	platinum	AdTech	grid	L
G26	-49.934284	-73.162392	21.590315	2.3	surface	platinum	AdTech	grid	L
G27	-55.81176	-63.467766	20.945129	2.3	surface	platinum	AdTech	grid	L
G28	-59.507572	-53.569473	20.289948	2.3	surface	platinum	AdTech	grid	L
G29	-60.578487	-43.016369	19.359512	2.3	surface	platinum	AdTech	grid	L
G30	-59.380611	-32.387413	18.254902	2.3	surface	platinum	AdTech	grid	L
G31	-60.80732	-22.426413	17.631079	2.3	surface	platinum	AdTech	grid	L
G32	-61.457577	-11.994226	17.00526	2.3	surface	platinum	AdTech	grid	L
G33	-40.895546	-78.792618	30.866365	2.3	surface	platinum	AdTech	grid	L
G34	-47.405468	-70.460022	31.692211	2.3	surface	platinum	AdTech	grid	L
G35	-52.841232	-60.419312	31.192036	2.3	surface	platinum	AdTech	grid	L
G36	-57.086826	-50.674667	30.942003	2.3	surface	platinum	AdTech	grid	L
G37	-58.218147	-39.601631	29.866791	2.3	surface	platinum	AdTech	grid	L
G38	-58.461067	-28.999882	28.808422	2.3	surface	platinum	AdTech	grid	L
G39	-61.308975	-18.905802	28.66897	2.3	surface	platinum	AdTech	grid	L
G40	-59.219067	-9.023425	27.115189	2.3	surface	platinum	AdTech	grid	L
G41	-36.648926	-75.365837	39.448132	2.3	surface	platinum	AdTech	grid	L
G42	-43.060844	-67.387115	39.930283	2.3	surface	platinum	AdTech	grid	L
G43	-49.427025	-57.387848	40.557831	2.3	surface	platinum	AdTech	grid	L
G44	-53.148712	-47.495045	40.334995	2.3	surface	platinum	AdTech	grid	L
G45	-53.568935	-36.284451	39.833225	2.3	surface	platinum	AdTech	grid	L
G46	-54.073994	-26.08132	38.128532	2.3	surface	platinum	AdTech	grid	L
G47	-55.448273	-15.607322	37.78886	2.3	surface	platinum	AdTech	grid	L
G48	-52.937828	-6.919229	36.377823	2.3	surface	platinum	AdTech	grid	L
AT01	-6.143459	-41.73251	-1.707661	2.3	surface	platinum	AdTech	strip	L
AT02	-10.535066	-34.88641	-7.688259	2.3	surface	platinum	AdTech	strip	L
AT03	-22.792868	-30.096985	-11.740376	2.3	surface	platinum	AdTech	strip	L
AT04	-28.127466	-25.954231	-10.743274	2.3	surface	platinum	AdTech	strip	L
PT01	-21.940428	-84.232155	-31.277613	2.3	surface	platinum	AdTech	strip	L
PT02	-27.88328	-76.678566	-26.220362	2.3	surface	platinum	AdTech	strip	L
PT03	-32.371738	-68.74633	-23.901937	2.3	surface	platinum	AdTech	strip	L
PT04	-39.097908	-60.759312	-23.392101	2.3	surface	platinum	AdTech	strip	L
DAM01	-16	-20	-13	2.3	depth	platinum	AdTech	depth	L
DAM02	-19.666667	-16.666667	-14	2.3	depth	platinum	AdTech	depth	L
DAM03	-23.333333	-13.333333	-15	2.3	depth	platinum	AdTech	depth	L
DAM04	-27	-10	-16	2.3	depth	platinum	AdTech	depth	L
DPM01	-23	-47	-2	2.3	depth	platinum	AdTech	depth	L
DPM02	-26.428571	-43.571429	-3	2.3	depth	platinum	AdTech	depth	L
DPM03	-29.857143	-40.142857	-4	2.3	depth	platinum	AdTech	depth	L
DPM04	-33.285714	-36.714286	-5	2.3	depth	platinum	AdTech	depth	L
DPM05	-36.714286	-33.285714	-6	2.3	depth	platinum	AdTech	depth	L
DPM06	-40.142857	-29.857143	-7	2.3	depth	platinum	AdTech	depth	L
DPM07	-43.571429	-26.428571	-8	2.3	depth	platinum	AdTech	depth	L
DPM08	-47	-23	-9	2.3	depth	platinum	AdTech	depth	L
DAI01	-28	-10	-1	2.3	depth	platinum	AdTech	depth	L
DAI02	-32.666667	-7.666667	-1.666667	2.3	depth	platinum	AdTech	depth	L
DAI03	-37.333333	-5.333333	-2.333333	2.3	depth	platinum	AdTech	depth	L
DAI04	-42	-3	-3	2.3	depth	platinum	AdTech	depth	L
DPI01	-31	-31	0	2.3	depth	platinum	AdTech	depth	L
DPI02	-34.333333	-27.333333	0	2.3	depth	platinum	AdTech	depth	L
DPI03	-37.666667	-23.666667	0	2.3	depth	platinum	AdTech	depth	L
DPI04	-41	-20	0	2.3	depth	platinum	AdTech	depth	L
