name	type	units	low_cutoff	high_cutoff	reference	group	status	status_description	sampling_frequency
T01	ECOG	µV	NaN	0.15	car	T	good	n/a	2048
T02	ECOG	µV	0	0.15	car	T	good	n/a	2048
T03	ECOG	µV	0	0.15	car	T	good	n/a	2048
T04	ECOG	µV	0	0.15	car	T	good	n/a	2048
T05	ECOG	µV	0	0.15	car	T	good	n/a	2048
T06	ECOG	µV	0	0.15	car	T	good	n/a	2048
T07	ECOG	µV	0	0.15	car	T	good	n/a	2048
T08	ECOG	µV	0	0.15	car	T	good	n/a	2048
T09	ECOG	µV	0	0.15	car	T	good	n/a	2048
T10	ECOG	µV	0	0.15	car	T	good	n/a	2048
T11	ECOG	µV	0	0.15	car	T	good	n/a	2048
T12	ECOG	µV	0	0.15	car	T	good	n/a	2048
T13	ECOG	µV	0	0.15	car	T	good	n/a	2048
T14	ECOG	µV	0	0.15	car	T	good	n/a	2048
T15	ECOG	µV	0	0.15	car	T	good	n/a	2048
T16	ECOG	µV	0	0.15	car	T	good	n/a	2048
sT1	ECOG	µV	0	0.15	car	sT	good	n/a	2048
sT2	ECOG	µV	0	0.15	car	sT	good	n/a	2048
sT3	ECOG	µV	0	0.15	car	sT	good	n/a	2048
sT4	ECOG	µV	0	0.15	car	sT	good	n/a	2048
sT5	ECOG	µV	0	0.15	car	sT	good	n/a	2048
sT6	ECOG	µV	0	0.15	car	sT	good	n/a	2048
sT7	ECOG	µV	0	0.15	car	sT	good	n/a	2048
sT8	ECOG	µV	0	0.15	car	sT	good	n/a	2048
AH+	MISC	µV	0	0.15	AH-	n/a	good	n/a	2048
ECG+	ECG	µV	0	0.15	ECG-	n/a	good	n/a	2048
orb+	EOG	µV	0	0.15	orb-	n/a	good	n/a	2048
EMG+	EMG	µV	0	0.15	EMG-	n/a	good	n/a	2048
Oc1	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc2	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc3	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc4	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc5	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc6	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc7	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc8	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc9	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc10	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc11	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc12	ECOG	µV	0	0.15	car	Oc	bad	epileptic	2048
Oc13	ECOG	µV	0	0.15	car	Oc	bad	epileptic	2048
Oc14	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc15	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc16	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc17	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc18	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc19	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc20	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc21	ECOG	µV	0	0.15	car	Oc	bad	epileptic	2048
Oc22	ECOG	µV	0	0.15	car	Oc	bad	epileptic	2048
Oc23	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc24	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc25	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc26	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc27	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc28	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc29	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc30	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc31	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
Oc32	ECOG	µV	0	0.15	car	Oc	good	n/a	2048
MKR+	TRIG	µV	0	0	MKR-	n/a	good	n/a	2048
