name	x	y	z	size	type	material	manufacturer	group	hemisphere
LSF01	-7.759442	33.503269	76.202065	2.3	surface	platinum	AdTech	strip	L
LSF02	-12.032613	23.57011	79.211571	2.3	surface	platinum	AdTech	strip	L
LSF03	-15.825468	14.956957	82.397026	2.3	surface	platinum	AdTech	strip	L
LSF04	-18.637171	6.341218	83.794983	2.3	surface	platinum	AdTech	strip	L
LSF05	-22.731157	-3.935711	83.681686	2.3	surface	platinum	AdTech	strip	L
LSF06	-25.527805	-13.73311	85.673126	2.3	surface	platinum	AdTech	strip	L
LSF07	-28.180286	-22.459814	84.051735	2.3	surface	platinum	AdTech	strip	L
LSF08	-29.182751	-32.767628	82.846603	2.3	surface	platinum	AdTech	strip	L
LSF09	-30.285864	-41.663578	78.515282	2.3	surface	platinum	AdTech	strip	L
LSF10	-31.355906	-49.272999	75.687553	2.3	surface	platinum	AdTech	strip	L
LSF11	-32.644852	-58.442997	69.393188	2.3	surface	platinum	AdTech	strip	L
LSF12	-32.926411	-65.358353	62.783905	2.3	surface	platinum	AdTech	strip	L
LIF01	-38.117229	42.554565	54.748386	2.3	surface	platinum	AdTech	strip	L
LIF02	-45.515282	33.980854	54.158272	2.3	surface	platinum	AdTech	strip	L
LIF03	-48.835114	23.307692	55.79726	2.3	surface	platinum	AdTech	strip	L
LIF04	-52.002827	13.702454	55.571896	2.3	surface	platinum	AdTech	strip	L
LIF05	-55.807354	4.256411	55.474361	2.3	surface	platinum	AdTech	strip	L
LIF06	-58.203449	-4.23938	57.002583	2.3	surface	platinum	AdTech	strip	L
LIF07	-59.465191	-15.02695	55.805836	2.3	surface	platinum	AdTech	strip	L
LIF08	-61.55378	-24.0446	56.189762	2.3	surface	platinum	AdTech	strip	L
LIF09	-61.980492	-33.891796	54.501007	2.3	surface	platinum	AdTech	strip	L
LIF10	-60.550571	-44.629135	52.13443	2.3	surface	platinum	AdTech	strip	L
LIF11	-57.783268	-54.200825	48.249886	2.3	surface	platinum	AdTech	strip	L
LIF12	-53.497662	-64.067551	46.197559	2.3	surface	platinum	AdTech	strip	L
LST01	-54.062458	23.486454	40.854763	2.3	surface	platinum	AdTech	strip	L
LST02	-56.489307	13.924504	39.883942	2.3	surface	platinum	AdTech	strip	L
LST03	-61.328953	5.685011	40.208096	2.3	surface	platinum	AdTech	strip	L
LST04	-63.5373	-3.903135	39.46928	2.3	surface	platinum	AdTech	strip	L
LST05	-63.941574	-13.824775	38.830574	2.3	surface	platinum	AdTech	strip	L
LST06	-65.349373	-25.296808	36.629917	2.3	surface	platinum	AdTech	strip	L
LST07	-65.712334	-35.038914	36.160881	2.3	surface	platinum	AdTech	strip	L
LST08	-64.172897	-46.608265	35.110516	2.3	surface	platinum	AdTech	strip	L
LST09	-60.205891	-55.571037	34.968609	2.3	surface	platinum	AdTech	strip	L
LST10	-56.280121	-63.788544	34.982315	2.3	surface	platinum	AdTech	strip	L
LPT01	-69.073631	-24.978407	1.415246	2.3	surface	platinum	AdTech	strip	L
LPT02	-68.94117	-33.969112	2.596231	2.3	surface	platinum	AdTech	strip	L
LPT03	-66.247566	-43.190456	6.135098	2.3	surface	platinum	AdTech	strip	L
LPT04	-62.398983	-51.37912	11.388979	2.3	surface	platinum	AdTech	strip	L
LPT05	-58.862957	-59.342289	15.704653	2.3	surface	platinum	AdTech	strip	L
LPT06	-56.00716	-67.432579	18.979813	2.3	surface	platinum	AdTech	strip	L
RSF01	35.266106	25.272484	70.830482	2.3	surface	platinum	AdTech	strip	R
RSF02	37.634846	16.62034	73.01873	2.3	surface	platinum	AdTech	strip	R
RSF03	40.095387	6.80115	73.605583	2.3	surface	platinum	AdTech	strip	R
RSF04	40.505608	-3.276929	72.464058	2.3	surface	platinum	AdTech	strip	R
RSF05	41.909157	-11.777771	71.793991	2.3	surface	platinum	AdTech	strip	R
RSF06	44.499729	-21.73246	71.863548	2.3	surface	platinum	AdTech	strip	R
RSF07	46.01815	-31.516272	69.169701	2.3	surface	platinum	AdTech	strip	R
RSF08	45.497421	-41.826286	65.982841	2.3	surface	platinum	AdTech	strip	R
RSF09	44.00882	-51.600163	62.621216	2.3	surface	platinum	AdTech	strip	R
RSF10	42.4165	-60.739746	57.833202	2.3	surface	platinum	AdTech	strip	R
RSF11	39.634949	-68.753784	52.162209	2.3	surface	platinum	AdTech	strip	R
RSF12	35.122471	-75.515022	45.966915	2.3	surface	platinum	AdTech	strip	R
RIF01	43.906403	27.039415	62.828106	2.3	surface	platinum	AdTech	strip	R
RIF02	48.490097	17.259207	63.553509	2.3	surface	platinum	AdTech	strip	R
RIF03	49.945404	8.898906	61.535957	2.3	surface	platinum	AdTech	strip	R
RIF04	53.235439	0.381831	60.406765	2.3	surface	platinum	AdTech	strip	R
