name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group	description	status	status_description
GA03	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	bad	spikes
GA04	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA05	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA06	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA09	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA10	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA13	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA14	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA15	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA16	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA17	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA18	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA19	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA20	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA21	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA22	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA23	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA24	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA25	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA26	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA27	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA28	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA29	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	bad	spikes
GA30	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA31	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA32	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA33	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA34	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA35	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA36	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA37	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA38	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA39	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA40	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA41	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA42	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA43	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA44	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA45	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA46	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA47	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA48	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA49	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA50	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA51	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA52	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA53	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	bad	spikes
GA54	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA55	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	bad	spikes
GA56	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA57	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA58	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA59	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA60	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA61	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA62	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA63	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA64	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
AT01	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
AT02	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
AT03	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
AT04	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
AT05	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
AT06	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
MT01	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
MT02	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
MT03	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
MT04	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
PT01	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	bad	spikes
PT02	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	bad	spikes
PT03	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
PT04	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
SF01	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
SF02	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
SF03	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
SF04	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
SF05	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
SF06	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
MF01	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	bad	spikes
MF02	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	bad	spikes
MF05	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	bad	spikes
MF06	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	bad	spikes
MF07	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	bad	spikes
MF08	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	bad	spikes
IF01	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
IF02	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
IF05	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
IF06	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
IF07	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
IF08	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
P01	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
P02	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
P03	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
P04	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
SG1	OTHER	unknown	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
SG6	OTHER	unknown	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DMT01	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DMT02	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DMT03	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DMT04	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DMT05	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DMT06	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DMT07	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DMT08	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DI01	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DI02	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DI03	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DI04	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DI07	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DI08	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DI11	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DI12	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPLS01	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DPLS02	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPLS05	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPLS06	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DPLS09	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPLS10	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPLS11	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DPLS12	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DALS01	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DALS02	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DALS05	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DALS06	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DALS09	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DALS10	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DALS11	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DALS12	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DCLS01	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DCLS02	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DCLS05	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DCLS06	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DCLS07	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
DCLS08	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	spikes
GB03	ECOG	unknown	500	0.15	512	n/a	car	HDgrid	n/a	good	n/a
GB04	ECOG	unknown	500	0.15	512	n/a	car	HDgrid	n/a	good	n/a
GB05	ECOG	unknown	500	0.15	512	n/a	car	HDgrid	n/a	good	n/a
GB06	ECOG	unknown	500	0.15	512	n/a	car	HDgrid	n/a	good	n/a
GB07	ECOG	unknown	500	0.15	512	n/a	car	HDgrid	n/a	good	n/a
GB08	ECOG	unknown	500	0.15	512	n/a	car	HDgrid	n/a	good	n/a
GB09	ECOG	unknown	500	0.15	512	n/a	car	HDgrid	n/a	good	n/a
GB10	ECOG	unknown	500	0.15	512	n/a	car	HDgrid	n/a	good	n/a
GB11	ECOG	unknown	500	0.15	512	n/a	car	HDgrid	n/a	good	n/a
GB12	ECOG	unknown	500	0.15	512	n/a	car	HDgrid	n/a	good	n/a
GB13	ECOG	unknown	500	0.15	512	n/a	car	HDgrid	n/a	good	n/a
GB14	ECOG	unknown	500	0.15	512	n/a	car	HDgrid	n/a	good	n/a
GB17	ECOG	unknown	500	0.15	512	n/a	car	HDgrid	n/a	bad	spikes
GB18	ECOG	unknown	500	0.15	512	n/a	car	HDgrid	n/a	good	n/a
GB19	ECOG	unknown	500	0.15	512	n/a	car	HDgrid	n/a	good	n/a
GB20	ECOG	unknown	500	0.15	512	n/a	car	HDgrid	n/a	good	n/a
GB21	ECOG	unknown	500	0.15	512	n/a	car	HDgrid	n/a	good	n/a
GB22	ECOG	unknown	500	0.15	512	n/a	car	HDgrid	n/a	good	n/a
