name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group	description	status	status_description
GA01	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA02	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA03	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA04	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA05	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA06	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA07	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA08	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA09	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA10	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA11	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA12	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA13	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA14	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA15	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA16	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA17	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA18	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA19	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA20	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA21	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA22	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA23	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA24	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA25	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA26	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA27	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA28	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA29	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA30	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA31	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA32	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA33	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA34	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA35	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA36	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA37	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA38	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA39	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA40	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA41	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA42	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA43	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA44	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA45	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA46	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA47	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA48	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA49	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA50	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA51	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA52	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA53	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA54	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA55	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA56	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA57	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA58	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA59	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA60	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA61	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA62	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA63	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GA64	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB01	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB02	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB03	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB04	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB05	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB06	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB07	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB08	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB09	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB10	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB11	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB12	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB13	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB14	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB15	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB16	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB17	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB18	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB19	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB20	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB21	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB22	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB23	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB24	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB25	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB26	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB27	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB28	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB29	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB30	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB31	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB32	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB33	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB34	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
GB35	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
