name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group	description	status	status_description	bb_method	bb_bandwidth
LSF01	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	bad	spikes	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LSF02	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	bad	spikes	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LSF03	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	bad	spikes	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LSF04	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	bad	spikes	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LSF05	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	bad	spikes	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LSF06	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LSF07	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LSF08	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LSF09	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LSF10	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LSF11	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LSF12	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	bad	spikes	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LIF01	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	bad	spikes	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LIF02	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LIF03	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LIF04	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LIF05	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LIF06	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LIF07	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LIF08	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LIF09	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LIF10	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LIF11	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LIF12	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LST01	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LST02	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LST03	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LST04	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LST05	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LST06	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LST07	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LST08	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LST09	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LST10	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LPT01	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LPT02	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LPT03	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LPT04	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LPT05	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
LPT06	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RSF01	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	bad	spikes	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RSF02	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RSF03	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RSF04	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RSF05	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	bad	spikes	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RSF06	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RSF07	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RSF08	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RSF09	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RSF10	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RSF11	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RSF12	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RIF01	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RIF02	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	bad	spikes	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RIF03	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RIF04	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RIF05	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RIF06	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RIF07	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RIF08	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
RIF09	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
