name	x	y	z	size	type	material	manufacturer	group	hemisphere
GA01	42.343086	37.696632	-10.157664	2.3	surface	platinum	AdTech	grid	R
GA02	49.848446	29.659302	-9.904694	2.3	surface	platinum	AdTech	grid	R
GA03	55.432781	20.100847	-8.743121	2.3	surface	platinum	AdTech	grid	R
GA04	58.804295	9.957153	-7.441159	2.3	surface	platinum	AdTech	grid	R
GA05	59.334641	-0.442928	-5.60716	2.3	surface	platinum	AdTech	grid	R
GA06	62.566746	-10.170253	-4.160961	2.3	surface	platinum	AdTech	grid	R
GA07	61.99477	-20.314075	-2.599821	2.3	surface	platinum	AdTech	grid	R
GA08	60.029499	-30.501097	-0.98434	2.3	surface	platinum	AdTech	grid	R
GA09	43.072323	37.946022	-3.061408	2.3	surface	platinum	AdTech	grid	R
GA10	50.72831	30.383158	-2.104498	2.3	surface	platinum	AdTech	grid	R
GA11	56.744549	21.302526	-0.211206	2.3	surface	platinum	AdTech	grid	R
GA12	60.347412	12.013472	1.724913	2.3	surface	platinum	AdTech	grid	R
GA13	60.83316	1.654873	3.362169	2.3	surface	platinum	AdTech	grid	R
GA14	63.352749	-8.068447	4.944383	2.3	surface	platinum	AdTech	grid	R
GA15	62.374462	-18.233397	7.087169	2.3	surface	platinum	AdTech	grid	R
GA16	61.281185	-28.830713	9.0231	2.3	surface	platinum	AdTech	grid	R
GA17	43.547115	38.690636	3.505194	2.3	surface	platinum	AdTech	grid	R
GA18	49.20755	30.419228	5.709374	2.3	surface	platinum	AdTech	grid	R
GA19	55.325859	21.807476	8.025601	2.3	surface	platinum	AdTech	grid	R
GA20	58.452911	12.656288	9.913338	2.3	surface	platinum	AdTech	grid	R
GA21	60.662853	3.261216	11.930502	2.3	surface	platinum	AdTech	grid	R
GA22	63.023014	-6.532944	14.987879	2.3	surface	platinum	AdTech	grid	R
GA23	61.998924	-16.384998	16.914404	2.3	surface	platinum	AdTech	grid	R
GA24	61.845486	-26.278614	19.002838	2.3	surface	platinum	AdTech	grid	R
GA25	46.48175	40.341713	10.674382	2.3	surface	platinum	AdTech	grid	R
GA26	49.094658	30.956192	13.678711	2.3	surface	platinum	AdTech	grid	R
GA27	54.318836	22.503279	15.927258	2.3	surface	platinum	AdTech	grid	R
GA28	56.345295	13.622877	19.104168	2.3	surface	platinum	AdTech	grid	R
GA29	59.497807	4.517423	21.801371	2.3	surface	platinum	AdTech	grid	R
GA30	62.176411	-5.414226	24.606941	2.3	surface	platinum	AdTech	grid	R
