onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index	event_sample	task_name
18.655	0.5000	0.0000	109	CRF-3	n/a	7	n/a	spatialpattern
20.355	0.5000	0.0000	107	CRF-1	n/a	2	n/a	spatialpattern
21.805	0.5000	0.0000	112	GRATING	n/a	17	n/a	spatialpattern
23.289	0.5000	0.0000	116	SPARSITY-2	n/a	29	n/a	spatialpattern
24.622	0.5000	0.0000	115	SPARSITY-1	n/a	26	n/a	spatialpattern
26.039	0.5000	0.0000	110	CRF-4	n/a	12	n/a	spatialpattern
27.472	0.5000	0.0000	115	SPARSITY-1	n/a	25	n/a	spatialpattern
29.123	0.5000	0.0000	112	GRATING	n/a	18	n/a	spatialpattern
30.723	0.5000	0.0000	113	PLAID	n/a	20	n/a	spatialpattern
32.406	0.5000	0.0000	111	CRF-5	n/a	15	n/a	spatialpattern
33.756	0.5000	0.0000	107	CRF-1	n/a	1	n/a	spatialpattern
35.140	0.5000	0.0000	113	PLAID	n/a	19	n/a	spatialpattern
36.440	0.5000	0.0000	114	CIRCULAR	n/a	24	n/a	spatialpattern
37.907	0.5000	0.0000	114	CIRCULAR	n/a	23	n/a	spatialpattern
39.623	0.5000	0.0000	117	SPARSITY-3	n/a	31	n/a	spatialpattern
40.907	0.5000	0.0000	108	CRF-2	n/a	5	n/a	spatialpattern
42.474	0.5000	0.0000	107	CRF-1	n/a	3	n/a	spatialpattern
43.940	0.5000	0.0000	116	SPARSITY-2	n/a	30	n/a	spatialpattern
45.574	0.5000	0.0000	108	CRF-2	n/a	6	n/a	spatialpattern
47.157	0.5000	0.0000	109	CRF-3	n/a	8	n/a	spatialpattern
48.475	0.5000	0.0000	118	SPARSITY-4	n/a	35	n/a	spatialpattern
50.158	0.5000	0.0000	116	SPARSITY-2	n/a	28	n/a	spatialpattern
51.908	0.5000	0.0000	118	SPARSITY-4	n/a	34	n/a	spatialpattern
53.158	0.5000	0.0000	112	GRATING	n/a	16	n/a	spatialpattern
54.688	0.5000	0.0000	115	SPARSITY-1	n/a	27	n/a	spatialpattern
56.192	0.5000	0.0000	117	SPARSITY-3	n/a	33	n/a	spatialpattern
57.925	0.5000	0.0000	108	CRF-2	n/a	4	n/a	spatialpattern
59.292	0.5000	0.0000	110	CRF-4	n/a	11	n/a	spatialpattern
60.942	0.5000	0.0000	113	PLAID	n/a	21	n/a	spatialpattern
62.222	0.5000	0.0000	114	CIRCULAR	n/a	22	n/a	spatialpattern
63.843	0.5000	0.0000	117	SPARSITY-3	n/a	32	n/a	spatialpattern
65.376	0.5000	0.0000	110	CRF-4	n/a	10	n/a	spatialpattern
66.911	0.5000	0.0000	111	CRF-5	n/a	14	n/a	spatialpattern
68.260	0.5000	0.0000	111	CRF-5	n/a	13	n/a	spatialpattern
69.810	0.5000	0.0000	109	CRF-3	n/a	9	n/a	spatialpattern
71.210	0.5000	0.0000	118	SPARSITY-4	n/a	36	n/a	spatialpattern
