name	x	y	z	size	type	material	manufacturer	group	hemisphere
O01	-5.003114	-59.316925	3.061847	2.3	surface	platinum	AdTech	strip	L
O02	-4.338315	-64.413437	10.064262	2.3	surface	platinum	AdTech	strip	L
O03	-4.880318	-72.073563	15.902051	2.3	surface	platinum	AdTech	strip	L
O04	-7.70295	-79.968887	22.953884	2.3	surface	platinum	AdTech	strip	L
LO01	-12.50937	-79.887276	-8.736933	2.3	surface	platinum	AdTech	strip	L
LO02	-19.851589	-83.455315	-9.981793	2.3	surface	platinum	AdTech	strip	L
LO03	-28.741335	-87.533745	-5.777053	2.3	surface	platinum	AdTech	strip	L
LO04	-37.204346	-85.537788	0.956923	2.3	surface	platinum	AdTech	strip	L
LT01	-19.121412	-47.672756	-14.181544	2.3	surface	platinum	AdTech	strip	L
LT02	-26.695175	-54.324745	-17.642401	2.3	surface	platinum	AdTech	strip	L
LT03	-35.133617	-59.975033	-19.724516	2.3	surface	platinum	AdTech	strip	L
LT04	-43.423733	-65.708427	-19.234739	2.3	surface	platinum	AdTech	strip	L
LOT01	-55.648533	7.180796	-19.975229	2.3	surface	platinum	AdTech	strip	L
LOT02	-60.252186	-2.862741	-19.702454	2.3	surface	platinum	AdTech	strip	L
LOT03	-63.207668	-10.880781	-14.684031	2.3	surface	platinum	AdTech	strip	L
LOT04	-65.014084	-19.30278	-12.963598	2.3	surface	platinum	AdTech	strip	L
LOT05	-66.556786	-27.889874	-9.962271	2.3	surface	platinum	AdTech	strip	L
LOT06	-65.869087	-38.720387	-6.330801	2.3	surface	platinum	AdTech	strip	L
LOT07	-64.77858	-47.436275	-3.082153	2.3	surface	platinum	AdTech	strip	L
LOT08	-61.43993	-57.621765	1.149729	2.3	surface	platinum	AdTech	strip	L
LPFI01	-49.052505	32.731537	17.667389	2.3	surface	platinum	AdTech	strip	L
LPFI02	-52.513546	20.911306	19.041937	2.3	surface	platinum	AdTech	strip	L
LPFI03	-52.418873	12.236901	20.512625	2.3	surface	platinum	AdTech	strip	L
LPFI04	-57.89024	2.395528	20.891937	2.3	surface	platinum	AdTech	strip	L
LPFI05	-59.792854	-5.860105	22.8307	2.3	surface	platinum	AdTech	strip	L
LPFI06	-62.411335	-15.732078	23.947641	2.3	surface	platinum	AdTech	strip	L
