name	x	y	z	size	type	material	manufacturer	group	hemisphere
G01	32.000008	-37.833084	47.717613	2.3	surface	platinum	AdTech	grid	R
G02	42.848415	-29.471457	46.969116	2.3	surface	platinum	AdTech	grid	R
G03	48.0154	-19.647833	45.515026	2.3	surface	platinum	AdTech	grid	R
G04	49.781967	-10.788764	42.457367	2.3	surface	platinum	AdTech	grid	R
G05	48.658363	-1.4105	39.946606	2.3	surface	platinum	AdTech	grid	R
G06	47.685711	7.486187	36.73243	2.3	surface	platinum	AdTech	grid	R
G07	45.206631	16.227041	33.286449	2.3	surface	platinum	AdTech	grid	R
G08	42.136452	25.178066	29.793482	2.3	surface	platinum	AdTech	grid	R
G09	46.24622	-41.358692	41.028866	2.3	surface	platinum	AdTech	grid	R
G10	50.766235	-32.28091	39.232548	2.3	surface	platinum	AdTech	grid	R
G11	53.985653	-23.037931	36.625828	2.3	surface	platinum	AdTech	grid	R
G12	56.150101	-13.785241	34.454128	2.3	surface	platinum	AdTech	grid	R
G13	56.35677	-4.218787	31.327854	2.3	surface	platinum	AdTech	grid	R
G14	53.845448	4.939387	27.959818	2.3	surface	platinum	AdTech	grid	R
G15	50.390301	14.105165	24.570459	2.3	surface	platinum	AdTech	grid	R
G16	48.462322	22.580523	20.910776	2.3	surface	platinum	AdTech	grid	R
G17	52.554966	-45.17284	32.416264	2.3	surface	platinum	AdTech	grid	R
G18	57.802631	-35.686668	30.299189	2.3	surface	platinum	AdTech	grid	R
G19	59.880554	-26.329351	28.025585	2.3	surface	platinum	AdTech	grid	R
G20	60.141426	-16.601053	25.357269	2.3	surface	platinum	AdTech	grid	R
G21	60.178684	-7.183275	21.898479	2.3	surface	platinum	AdTech	grid	R
G22	58.373383	2.114268	19.052219	2.3	surface	platinum	AdTech	grid	R
G23	55.858849	11.42338	15.99048	2.3	surface	platinum	AdTech	grid	R
G24	53.19141	19.788206	12.614173	2.3	surface	platinum	AdTech	grid	R
G25	56.862816	-48.168232	23.552223	2.3	surface	platinum	AdTech	grid	R
G26	60.04031	-39.234997	20.959646	2.3	surface	platinum	AdTech	grid	R
G27	62.10265	-29.711517	17.992292	2.3	surface	platinum	AdTech	grid	R
G28	62.471973	-20.155346	14.837031	2.3	surface	platinum	AdTech	grid	R
G29	61.332966	-10.402632	11.999182	2.3	surface	platinum	AdTech	grid	R
G30	60.177765	-1.273982	8.997015	2.3	surface	platinum	AdTech	grid	R
G31	57.193935	7.581737	6.075171	2.3	surface	platinum	AdTech	grid	R
G32	55.028206	16.480677	2.983953	2.3	surface	platinum	AdTech	grid	R
G33	58.64352	-51.477631	13.871481	2.3	surface	platinum	AdTech	grid	R
G34	60.769375	-42.747318	10.563402	2.3	surface	platinum	AdTech	grid	R
G35	62.486179	-32.801655	7.9462	2.3	surface	platinum	AdTech	grid	R
G36	64.3862	-23.611845	5.088038	2.3	surface	platinum	AdTech	grid	R
G37	62.598076	-13.926944	2.265682	2.3	surface	platinum	AdTech	grid	R
G38	61.187664	-4.53003	-0.867391	2.3	surface	platinum	AdTech	grid	R
G39	58.261631	4.496985	-3.219216	2.3	surface	platinum	AdTech	grid	R
G40	55.740879	13.372047	-6.859288	2.3	surface	platinum	AdTech	grid	R
G41	56.639019	-55.187054	3.953756	2.3	surface	platinum	AdTech	grid	R
G42	58.290379	-45.774921	0.811676	2.3	surface	platinum	AdTech	grid	R
G43	60.855568	-35.883041	-1.504432	2.3	surface	platinum	AdTech	grid	R
G44	61.415127	-26.861734	-4.883009	2.3	surface	platinum	AdTech	grid	R
G45	64.084068	-17.267529	-7.026279	2.3	surface	platinum	AdTech	grid	R
G46	61.892212	-7.868793	-10.397297	2.3	surface	platinum	AdTech	grid	R
G47	59.09618	1.468422	-12.987828	2.3	surface	platinum	AdTech	grid	R
G48	55.454735	10.00825	-16.113039	2.3	surface	platinum	AdTech	grid	R
G49	54.22308	-57.701221	-5.963307	2.3	surface	platinum	AdTech	grid	R
G50	54.412659	-48.576054	-9.339417	2.3	surface	platinum	AdTech	grid	R
G51	56.942661	-39.280178	-12.120101	2.3	surface	platinum	AdTech	grid	R
G52	60.241913	-29.62059	-14.411883	2.3	surface	platinum	AdTech	grid	R
G53	62.176823	-20.44363	-16.987217	2.3	surface	platinum	AdTech	grid	R
G54	61.174664	-10.975357	-19.752884	2.3	surface	platinum	AdTech	grid	R
G55	59.067348	-2.139126	-22.794464	2.3	surface	platinum	AdTech	grid	R
G56	55.548317	6.554549	-25.744038	2.3	surface	platinum	AdTech	grid	R
G57	50.394474	-60.853397	-16.058861	2.3	surface	platinum	AdTech	grid	R
G58	53.361652	-51.743858	-18.329062	2.3	surface	platinum	AdTech	grid	R
G59	56.063679	-42.303246	-21.469749	2.3	surface	platinum	AdTech	grid	R
G60	59.79023	-33.505363	-24.231293	2.3	surface	platinum	AdTech	grid	R
G61	60.50024	-24.071091	-26.97024	2.3	surface	platinum	AdTech	grid	R
G62	57.864811	-14.701	-29.269297	2.3	surface	platinum	AdTech	grid	R
