name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group	description	status	status_description
G01	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G02	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G03	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G04	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G05	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G06	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G07	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G08	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G09	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G10	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G11	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G12	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G13	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G14	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G15	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G16	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G17	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G18	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G19	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G20	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G21	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G22	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G23	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G24	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G25	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G26	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G27	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G28	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G29	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G30	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G31	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G32	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G33	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	bad	excessivenoise
G34	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G35	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G36	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G37	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G38	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G39	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G40	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G41	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G42	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G43	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G44	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G45	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G46	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G47	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G48	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	bad	excessivenoise
G49	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G50	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G51	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G52	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G53	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G54	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G55	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G56	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G57	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G58	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G59	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G60	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G61	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G62	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G63	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
G64	ECOG	unknown	500	0.15	512	n/a	car	grid	n/a	good	n/a
T01	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
T02	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
T03	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
T04	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
T05	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
T06	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
T07	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
T08	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
BT01	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
BT02	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
BT03	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
BT04	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
BO01	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
BO02	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
BO03	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
BO04	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
MIO01	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
MIO02	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
MIO03	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
MIO04	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
MSO01	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
MSO02	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
MSO03	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
MSO04	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
SF01	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	bad	excessivenoise
SF02	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
SF03	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
SF04	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
SF05	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	bad	excessivenoise
SF06	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	bad	excessivenoise
SF07	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
SF08	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	bad	excessivenoise
IF01	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
IF02	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
IF03	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
IF04	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
IF05	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
IF06	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
IF07	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
IF08	ECOG	unknown	500	0.15	512	n/a	car	strip	n/a	good	n/a
DMT01	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DMT02	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DMT03	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DMT04	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DMT05	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DMT06	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DMT07	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DMT08	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	excessivenoise
DMT09	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DMT10	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DMT11	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DMT12	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DI01	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DI02	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DI03	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DI04	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DI05	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DI06	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DI07	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DI08	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	excessivenoise
DI09	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DI10	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	good	n/a
DLA01	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	excessivenoise
DLA02	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	excessivenoise
DLA03	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	excessivenoise
DLA04	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	excessivenoise
DLA05	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	excessivenoise
DLA06	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	excessivenoise
DLA07	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	excessivenoise
DLB01	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	excessivenoise
DLB02	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	excessivenoise
DLB03	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	excessivenoise
DLB04	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	excessivenoise
DLB5	OTHER	unknown	500	0.15	512	n/a	n/a	n/a	n/a	bad	excessivenoise
DLC01	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	excessivenoise
DLC02	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	excessivenoise
DLC03	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	excessivenoise
DLC04	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	excessivenoise
DLC05	SEEG	unknown	500	0.15	512	n/a	car	depth	n/a	bad	excessivenoise
DLC6	OTHER	unknown	500	0.15	512	n/a	n/a	n/a	n/a	bad	excessivenoise
SG1	OTHER	unknown	500	0.15	512	n/a	n/a	n/a	n/a	bad	excessivenoise
SG2	OTHER	unknown	500	0.15	512	n/a	n/a	n/a	n/a	bad	excessivenoise
SG3	OTHER	unknown	500	0.15	512	n/a	n/a	n/a	n/a	bad	excessivenoise
SG4	OTHER	unknown	500	0.15	512	n/a	n/a	n/a	n/a	bad	excessivenoise
