name	x	y	z	size	type	material	manufacturer	group	hemisphere
GA01	-47.618454	28.604372	26.564337	2.3	surface	platinum	AdTech	grid	L
GA02	-50.133236	19.688763	30.244511	2.3	surface	platinum	AdTech	grid	L
GA03	-51.586658	10.849392	33.950455	2.3	surface	platinum	AdTech	grid	L
GA04	-51.394833	1.291727	37.159966	2.3	surface	platinum	AdTech	grid	L
GA05	-52.564034	-7.413286	41.071217	2.3	surface	platinum	AdTech	grid	L
GA06	-52.256824	-17.333328	44.744343	2.3	surface	platinum	AdTech	grid	L
GA07	-50.918182	-26.994482	47.846966	2.3	surface	platinum	AdTech	grid	L
GA08	-48.39912	-36.492302	51.394917	2.3	surface	platinum	AdTech	grid	L
GA09	-51.777195	26.122227	17.654062	2.3	surface	platinum	AdTech	grid	L
GA10	-53.874905	17.351336	21.27915	2.3	surface	platinum	AdTech	grid	L
GA11	-56.152172	7.963168	24.798824	2.3	surface	platinum	AdTech	grid	L
GA12	-54.983624	-2.077176	28.382738	2.3	surface	platinum	AdTech	grid	L
GA13	-58.168587	-11.04796	32.663723	2.3	surface	platinum	AdTech	grid	L
GA14	-57.61504	-20.522327	36.264843	2.3	surface	platinum	AdTech	grid	L
GA15	-58.162971	-30.553391	39.900414	2.3	surface	platinum	AdTech	grid	L
GA16	-56.464439	-39.908264	43.180046	2.3	surface	platinum	AdTech	grid	L
GA17	-54.035686	22.711777	8.725242	2.3	surface	platinum	AdTech	grid	L
GA18	-56.371613	13.827214	12.651999	2.3	surface	platinum	AdTech	grid	L
GA19	-57.529896	4.100279	16.216455	2.3	surface	platinum	AdTech	grid	L
GA20	-58.846584	-5.654348	19.732466	2.3	surface	platinum	AdTech	grid	L
GA21	-60.152409	-14.539658	23.51318	2.3	surface	platinum	AdTech	grid	L
GA22	-62.522846	-24.545763	26.772909	2.3	surface	platinum	AdTech	grid	L
GA23	-62.277348	-34.336609	31.113192	2.3	surface	platinum	AdTech	grid	L
GA24	-63.045139	-43.932869	34.856281	2.3	surface	platinum	AdTech	grid	L
GA25	-53.783615	18.786772	-0.584367	2.3	surface	platinum	AdTech	grid	L
GA26	-54.207615	9.190658	2.776884	2.3	surface	platinum	AdTech	grid	L
GA27	-57.322048	0.322718	7.292802	2.3	surface	platinum	AdTech	grid	L
GA28	-59.287373	-9.759964	10.782572	2.3	surface	platinum	AdTech	grid	L
GA29	-62.44743	-18.80353	14.014819	2.3	surface	platinum	AdTech	grid	L
GA30	-64.013069	-28.71336	18.073219	2.3	surface	platinum	AdTech	grid	L
GA31	-63.684746	-38.09074	22.267611	2.3	surface	platinum	AdTech	grid	L
GA32	-63.074116	-48.215416	25.691603	2.3	surface	platinum	AdTech	grid	L
GA33	-48.75647	14.075328	-9.260358	2.3	surface	platinum	AdTech	grid	L
GA34	-52.801861	5.228825	-5.634314	2.3	surface	platinum	AdTech	grid	L
GA35	-57.223568	-4.087748	-2.070843	2.3	surface	platinum	AdTech	grid	L
GA36	-59.423275	-13.11789	2.044296	2.3	surface	platinum	AdTech	grid	L
GA37	-61.588287	-23.275145	4.888111	2.3	surface	platinum	AdTech	grid	L
GA38	-63.183788	-32.400448	9.178602	2.3	surface	platinum	AdTech	grid	L
GA39	-62.826061	-42.09222	12.978709	2.3	surface	platinum	AdTech	grid	L
GA40	-62.461678	-51.957512	17.037724	2.3	surface	platinum	AdTech	grid	L
GA41	-47.600201	10.286893	-17.831776	2.3	surface	platinum	AdTech	grid	L
GA42	-53.612465	1.080951	-15.063835	2.3	surface	platinum	AdTech	grid	L
GA43	-57.160065	-8.229405	-10.983245	2.3	surface	platinum	AdTech	grid	L
GA44	-60.5116	-17.506954	-7.302955	2.3	surface	platinum	AdTech	grid	L
GA45	-62.31942	-27.278961	-4.055592	2.3	surface	platinum	AdTech	grid	L
GA46	-63.38731	-36.785908	0.025915	2.3	surface	platinum	AdTech	grid	L
GA47	-63.282875	-46.135796	3.83295	2.3	surface	platinum	AdTech	grid	L
GA48	-61.753242	-56.167805	8.02531	2.3	surface	platinum	AdTech	grid	L
GA49	-46.731052	6.354671	-26.818184	2.3	surface	platinum	AdTech	grid	L
GA50	-53.986439	-2.416344	-23.76182	2.3	surface	platinum	AdTech	grid	L
GA51	-56.887592	-12.245179	-20.669491	2.3	surface	platinum	AdTech	grid	L
GA52	-61.194157	-21.17528	-16.817474	2.3	surface	platinum	AdTech	grid	L
GA53	-61.945797	-31.217997	-13.016858	2.3	surface	platinum	AdTech	grid	L
GA54	-63.194	-40.941814	-8.577028	2.3	surface	platinum	AdTech	grid	L
GA55	-62.39283	-50.453514	-5.146365	2.3	surface	platinum	AdTech	grid	L
GA56	-59.986668	-60.498455	-1.019662	2.3	surface	platinum	AdTech	grid	L
GA57	-43.962219	1.748628	-35.581833	2.3	surface	platinum	AdTech	grid	L
GA58	-48.991962	-7.10628	-32.489845	2.3	surface	platinum	AdTech	grid	L
GA59	-54.656967	-16.186125	-28.952982	2.3	surface	platinum	AdTech	grid	L
GA60	-58.790493	-25.818218	-25.263479	2.3	surface	platinum	AdTech	grid	L
GA61	-61.097408	-35.090839	-21.610638	2.3	surface	platinum	AdTech	grid	L
GA62	-61.458496	-45.240051	-18.119577	2.3	surface	platinum	AdTech	grid	L
GA63	-59.326321	-55.193634	-14.040358	2.3	surface	platinum	AdTech	grid	L
GA64	-57.044556	-64.451347	-9.686035	2.3	surface	platinum	AdTech	grid	L
GB001	-30.182167	-97.391418	11.653587	1	surface	platinum	PMT	HDgrid	L
GB002	-33.629208	-95.979942	10.255822	1	surface	platinum	PMT	HDgrid	L
GB003	-36.333622	-94.40419	9.029778	1	surface	platinum	PMT	HDgrid	L
GB004	-39.299389	-93.066864	7.766534	1	surface	platinum	PMT	HDgrid	L
GB005	-42.531246	-90.348343	6.693653	1	surface	platinum	PMT	HDgrid	L
GB006	-43.646946	-90.148232	6.094045	1	surface	platinum	PMT	HDgrid	L
GB007	-46.536812	-87.530365	5.581706	1	surface	platinum	PMT	HDgrid	L
GB008	-48.553867	-85.29908	4.141166	1	surface	platinum	PMT	HDgrid	L
GB009	-49.615406	-82.227783	3.920619	1	surface	platinum	PMT	HDgrid	L
GB010	-50.184082	-79.73172	4.503313	1	surface	platinum	PMT	HDgrid	L
GB011	-51.272385	-76.418114	3.663309	1	surface	platinum	PMT	HDgrid	L
GB012	-52.805729	-74.876358	2.417381	1	surface	platinum	PMT	HDgrid	L
GB013	-54.653145	-72.889709	1.349022	1	surface	platinum	PMT	HDgrid	L
GB014	-57.033283	-69.396896	0.485226	1	surface	platinum	PMT	HDgrid	L
GB015	-57.913242	-66.676079	0.739656	1	surface	platinum	PMT	HDgrid	L
GB016	-58.059521	-64.14727	-0.044219	1	surface	platinum	PMT	HDgrid	L
GB017	-29.768631	-97.405762	7.891265	1	surface	platinum	PMT	HDgrid	L
