name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group	description	status	status_description	bb_method	bb_bandwidth
G03	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G04	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G05	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G06	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G07	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G08	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G09	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G10	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G11	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G12	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G13	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G14	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G15	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G16	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G17	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G18	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G19	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G20	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G21	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G22	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G23	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G24	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G25	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G26	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G27	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G28	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G29	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G30	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G31	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G32	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G33	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G34	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G35	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G36	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G37	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G38	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G39	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G40	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G41	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G42	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G43	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G44	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G45	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G46	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G47	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G48	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G49	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G50	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G51	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G52	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G53	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G54	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G55	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G56	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G57	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G58	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G59	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G60	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G61	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G62	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G63	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G64	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
IO01	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
IO02	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
IO03	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
IO04	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
MO01	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
MO02	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
MO03	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
MO04	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
SF01	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
SF02	ECOG	uV^2	200	70	512	n/a	car	strip	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
