name	type	units	low_cutoff	high_cutoff	reference	group	status	status_description	sampling_frequency	bb_method	bb_bandwidth
T01	ECOG	uV^2	190	60	car	T	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
T02	ECOG	uV^2	190	60	car	T	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
T03	ECOG	uV^2	190	60	car	T	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
T04	ECOG	uV^2	190	60	car	T	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
T05	ECOG	uV^2	190	60	car	T	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
T06	ECOG	uV^2	190	60	car	T	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
T07	ECOG	uV^2	190	60	car	T	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
T08	ECOG	uV^2	190	60	car	T	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
T09	ECOG	uV^2	190	60	car	T	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
T10	ECOG	uV^2	190	60	car	T	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
T11	ECOG	uV^2	190	60	car	T	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
T12	ECOG	uV^2	190	60	car	T	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
T13	ECOG	uV^2	190	60	car	T	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
T14	ECOG	uV^2	190	60	car	T	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
T15	ECOG	uV^2	190	60	car	T	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
T16	ECOG	uV^2	190	60	car	T	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
sT1	ECOG	uV^2	190	60	car	sT	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
sT2	ECOG	uV^2	190	60	car	sT	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
sT3	ECOG	uV^2	190	60	car	sT	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
sT4	ECOG	uV^2	190	60	car	sT	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
sT5	ECOG	uV^2	190	60	car	sT	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
sT6	ECOG	uV^2	190	60	car	sT	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
sT7	ECOG	uV^2	190	60	car	sT	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
sT8	ECOG	uV^2	190	60	car	sT	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
AH+	MISC	µV	0	0.15	AH-	n/a	good	n/a	2048	n/a	n/a
ECG+	ECG	µV	0	0.15	ECG-	n/a	good	n/a	2048	n/a	n/a
orb+	EOG	µV	0	0.15	orb-	n/a	good	n/a	2048	n/a	n/a
EMG+	EMG	µV	0	0.15	EMG-	n/a	good	n/a	2048	n/a	n/a
Oc1	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc2	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc3	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc4	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc5	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc6	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc7	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc8	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
