name	type	units	low_cutoff	high_cutoff	reference	group	status	status_description	sampling_frequency	bb_method	bb_bandwidth
Oc9	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc10	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc11	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc12	ECOG	uV^2	190	60	car	Oc	bad	epileptic	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc13	ECOG	uV^2	190	60	car	Oc	bad	epileptic	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc14	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc15	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc16	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc17	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc18	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc19	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc20	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc21	ECOG	uV^2	190	60	car	Oc	bad	epileptic	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc22	ECOG	uV^2	190	60	car	Oc	bad	epileptic	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc23	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc24	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc25	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc26	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc27	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc28	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc29	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc30	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc31	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
Oc32	ECOG	uV^2	190	60	car	Oc	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
MKR+	TRIG	µV	0	0	MKR-	n/a	good	n/a	2048	n/a	n/a
