name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group	description	status	status_description
LSF01	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	bad	spikes
LSF02	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	bad	spikes
LSF03	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	bad	spikes
LSF04	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	bad	spikes
LSF05	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	bad	spikes
LSF06	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LSF07	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LSF08	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LSF09	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LSF10	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LSF11	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LSF12	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	bad	spikes
LIF01	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	bad	spikes
LIF02	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LIF03	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LIF04	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LIF05	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LIF06	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LIF07	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LIF08	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LIF09	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LIF10	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LIF11	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LIF12	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LST01	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LST02	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LST03	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LST04	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LST05	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LST06	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LST07	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LST08	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LST09	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LST10	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LPT01	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LPT02	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LPT03	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LPT04	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LPT05	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
LPT06	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RSF01	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	bad	spikes
RSF02	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RSF03	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RSF04	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RSF05	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	bad	spikes
RSF06	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RSF07	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RSF08	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RSF09	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RSF10	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RSF11	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RSF12	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RIF01	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RIF02	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	bad	spikes
RIF03	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RIF04	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RIF05	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RIF06	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RIF07	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RIF08	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RIF09	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RIF10	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RIF11	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
RIF12	ECOG	unknown	500	0.15	512	n/a	n/a	strip	n/a	good	n/a
