name	type	units	low_cutoff	high_cutoff	reference	group	notch	status	status_description	sampling_frequency
OT01	ECOG	µV	NaN	0.15	car	OT	0	good	n/a	512
OT02	ECOG	µV	0	0.15	car	OT	0	good	n/a	512
OT03	ECOG	µV	0	0.15	car	OT	0	good	n/a	512
OT04	ECOG	µV	0	0.15	car	OT	0	good	n/a	512
OT05	ECOG	µV	0	0.15	car	OT	0	good	n/a	512
OT06	ECOG	µV	0	0.15	car	OT	0	good	n/a	512
OT07	ECOG	µV	0	0.15	car	OT	0	good	n/a	512
OT08	ECOG	µV	0	0.15	car	OT	0	good	n/a	512
OT09	ECOG	µV	0	0.15	car	OT	0	good	n/a	512
OT10	ECOG	µV	0	0.15	car	OT	0	good	n/a	512
OT11	ECOG	µV	0	0.15	car	OT	0	good	n/a	512
OT12	ECOG	µV	0	0.15	car	OT	0	good	n/a	512
OT13	ECOG	µV	0	0.15	car	OT	0	good	n/a	512
OT14	ECOG	µV	0	0.15	car	OT	0	good	n/a	512
OT15	ECOG	µV	0	0.15	car	OT	0	good	n/a	512
OT16	ECOG	µV	0	0.15	car	OT	0	good	n/a	512
BT01	ECOG	µV	0	0.15	car	BT	0	good	n/a	512
BT02	ECOG	µV	0	0.15	car	BT	0	good	n/a	512
BT03	ECOG	µV	0	0.15	car	BT	0	good	n/a	512
BT04	ECOG	µV	0	0.15	car	BT	0	good	n/a	512
BT05	ECOG	µV	0	0.15	car	BT	0	good	n/a	512
BT06	ECOG	µV	0	0.15	car	BT	0	good	n/a	512
BT07	ECOG	µV	0	0.15	car	BT	0	good	n/a	512
BT08	ECOG	µV	0	0.15	car	BT	0	good	n/a	512
BT09	ECOG	µV	0	0.15	car	BT	0	good	n/a	512
BT10	ECOG	µV	0	0.15	car	BT	0	good	n/a	512
BT11	ECOG	µV	0	0.15	car	BT	0	good	n/a	512
BT12	ECOG	µV	0	0.15	car	BT	0	good	n/a	512
BT13	ECOG	µV	0	0.15	car	BT	0	good	n/a	512
BT14	ECOG	µV	0	0.15	car	BT	0	good	n/a	512
BT15	ECOG	µV	0	0.15	car	BT	0	good	n/a	512
BT16	ECOG	µV	0	0.15	car	BT	0	good	n/a	512
vT1	ECOG	µV	0	0.15	car	vT	0	good	n/a	512
vT2	ECOG	µV	0	0.15	car	vT	0	good	n/a	512
vT3	ECOG	µV	0	0.15	car	vT	0	good	n/a	512
vT4	ECOG	µV	0	0.15	car	vT	0	good	n/a	512
vT5	ECOG	µV	0	0.15	car	vT	0	good	n/a	512
vT6	ECOG	µV	0	0.15	car	vT	0	good	n/a	512
vT7	ECOG	µV	0	0.15	car	vT	0	bad	on top of other channels	512
vT8	ECOG	µV	0	0.15	car	vT	0	bad	on top of other channels	512
sT1	ECOG	µV	0	0.15	car	sT	0	good	n/a	512
sT2	ECOG	µV	0	0.15	car	sT	0	good	n/a	512
sT3	ECOG	µV	0	0.15	car	sT	0	good	n/a	512
sT4	ECOG	µV	0	0.15	car	sT	0	good	n/a	512
sT5	ECOG	µV	0	0.15	car	sT	0	good	n/a	512
sT6	ECOG	µV	0	0.15	car	sT	0	good	n/a	512
sT7	ECOG	µV	0	0.15	car	sT	0	bad	on top of other channels	512
sT8	ECOG	µV	0	0.15	car	sT	0	bad	on top of other channels	512
D1	SEEG	µV	0	0.15	car	D	0	good	n/a	512
D2	SEEG	µV	0	0.15	car	D	0	good	n/a	512
D3	SEEG	µV	0	0.15	car	D	0	good	n/a	512
D4	SEEG	µV	0	0.15	car	D	0	good	n/a	512
D5	SEEG	µV	0	0.15	car	D	0	good	n/a	512
D6	SEEG	µV	0	0.15	car	D	0	good	n/a	512
D7	SEEG	µV	0	0.15	car	D	0	good	n/a	512
D8	SEEG	µV	0	0.15	car	D	0	good	n/a	512
P01	ECOG	µV	0	0.15	car	P	0	good	n/a	512
P02	ECOG	µV	0	0.15	car	P	0	good	n/a	512
P03	ECOG	µV	0	0.15	car	P	0	good	n/a	512
P04	ECOG	µV	0	0.15	car	P	0	good	n/a	512
P05	ECOG	µV	0	0.15	car	P	0	good	n/a	512
P06	ECOG	µV	0	0.15	car	P	0	good	n/a	512
P07	ECOG	µV	0	0.15	car	P	0	good	n/a	512
P08	ECOG	µV	0	0.15	car	P	0	good	n/a	512
MKR1+	TRIG	µV	0	0	MKR1-	n/a	0	bad	None	512
AH+	MISC	µV	0	0.15	AH-	n/a	0	good	n/a	512
ECG+	ECG	µV	0	0.15	ECG-	n/a	0	good	n/a	512
ORB+	EOG	µV	0	0.15	ORB-	n/a	0	good	n/a	512
emg1+	EMG	µV	0	0.15	emg1-	n/a	0	good	n/a	512
emg2+	EMG	µV	0	0.15	emg2-	n/a	0	good	n/a	512
emg3+	EMG	µV	0	0.15	emg3-	n/a	0	good	n/a	512
thor+	EMG	n/a	0	0	thor-	n/a	0	good	n/a	512
abdo+	EMG	n/a	0	0	abdo-	n/a	0	good	n/a	512
MKR2+	TRIG	µV	0	0	MKR2-	n/a	0	good	n/a	512
