name	type	units	low_cutoff	high_cutoff	reference	group	notch	status	status_description	sampling_frequency
OT01	ECOG	µV	NaN	0.15	car	OT	0	good	n/a	2048
OT02	ECOG	µV	0	0.15	car	OT	0	good	n/a	2048
OT03	ECOG	µV	0	0.15	car	OT	0	good	n/a	2048
OT04	ECOG	µV	0	0.15	car	OT	0	good	n/a	2048
OT05	ECOG	µV	0	0.15	car	OT	0	good	n/a	2048
OT06	ECOG	µV	0	0.15	car	OT	0	good	n/a	2048
OT07	ECOG	µV	0	0.15	car	OT	0	good	n/a	2048
OT08	ECOG	µV	0	0.15	car	OT	0	good	n/a	2048
OT09	ECOG	µV	0	0.15	car	OT	0	good	n/a	2048
OT10	ECOG	µV	0	0.15	car	OT	0	good	n/a	2048
OT11	ECOG	µV	0	0.15	car	OT	0	good	n/a	2048
OT12	ECOG	µV	0	0.15	car	OT	0	good	n/a	2048
OT13	ECOG	µV	0	0.15	car	OT	0	good	n/a	2048
OT14	ECOG	µV	0	0.15	car	OT	0	good	n/a	2048
OT15	ECOG	µV	0	0.15	car	OT	0	good	n/a	2048
OT16	ECOG	µV	0	0.15	car	OT	0	good	n/a	2048
BT01	ECOG	µV	0	0.15	car	BT	0	good	n/a	2048
BT02	ECOG	µV	0	0.15	car	BT	0	good	n/a	2048
BT03	ECOG	µV	0	0.15	car	BT	0	good	n/a	2048
BT04	ECOG	µV	0	0.15	car	BT	0	good	n/a	2048
BT05	ECOG	µV	0	0.15	car	BT	0	good	n/a	2048
BT06	ECOG	µV	0	0.15	car	BT	0	good	n/a	2048
BT07	ECOG	µV	0	0.15	car	BT	0	good	n/a	2048
BT08	ECOG	µV	0	0.15	car	BT	0	good	n/a	2048
BT09	ECOG	µV	0	0.15	car	BT	0	good	n/a	2048
BT10	ECOG	µV	0	0.15	car	BT	0	good	n/a	2048
BT11	ECOG	µV	0	0.15	car	BT	0	good	n/a	2048
BT12	ECOG	µV	0	0.15	car	BT	0	good	n/a	2048
BT13	ECOG	µV	0	0.15	car	BT	0	good	n/a	2048
BT14	ECOG	µV	0	0.15	car	BT	0	good	n/a	2048
BT15	ECOG	µV	0	0.15	car	BT	0	good	n/a	2048
BT16	ECOG	µV	0	0.15	car	BT	0	good	n/a	2048
vT1	ECOG	µV	0	0.15	car	vT	0	good	n/a	2048
vT2	ECOG	µV	0	0.15	car	vT	0	good	n/a	2048
vT3	ECOG	µV	0	0.15	car	vT	0	good	n/a	2048
vT4	ECOG	µV	0	0.15	car	vT	0	good	n/a	2048
vT5	ECOG	µV	0	0.15	car	vT	0	good	n/a	2048
vT6	ECOG	µV	0	0.15	car	vT	0	good	n/a	2048
vT7	ECOG	µV	0	0.15	car	vT	0	bad	on top of other channels	2048
vT8	ECOG	µV	0	0.15	car	vT	0	bad	on top of other channels	2048
sT1	ECOG	µV	0	0.15	car	sT	0	good	n/a	2048
sT2	ECOG	µV	0	0.15	car	sT	0	good	n/a	2048
sT3	ECOG	µV	0	0.15	car	sT	0	good	n/a	2048
sT4	ECOG	µV	0	0.15	car	sT	0	good	n/a	2048
sT5	ECOG	µV	0	0.15	car	sT	0	good	n/a	2048
sT6	ECOG	µV	0	0.15	car	sT	0	good	n/a	2048
sT7	ECOG	µV	0	0.15	car	sT	0	bad	on top of other channels	2048
sT8	ECOG	µV	0	0.15	car	sT	0	bad	on top of other channels	2048
D1	SEEG	µV	0	0.15	car	D	0	good	n/a	2048
D2	SEEG	µV	0	0.15	car	D	0	good	n/a	2048
D3	SEEG	µV	0	0.15	car	D	0	good	n/a	2048
D4	SEEG	µV	0	0.15	car	D	0	good	n/a	2048
D5	SEEG	µV	0	0.15	car	D	0	good	n/a	2048
D6	SEEG	µV	0	0.15	car	D	0	good	n/a	2048
D7	SEEG	µV	0	0.15	car	D	0	good	n/a	2048
D8	SEEG	µV	0	0.15	car	D	0	good	n/a	2048
P01	ECOG	µV	0	0.15	car	P	0	good	n/a	2048
P02	ECOG	µV	0	0.15	car	P	0	good	n/a	2048
P03	ECOG	µV	0	0.15	car	P	0	good	n/a	2048
P04	ECOG	µV	0	0.15	car	P	0	good	n/a	2048
P05	ECOG	µV	0	0.15	car	P	0	good	n/a	2048
P06	ECOG	µV	0	0.15	car	P	0	good	n/a	2048
P07	ECOG	µV	0	0.15	car	P	0	good	n/a	2048
P08	ECOG	µV	0	0.15	car	P	0	good	n/a	2048
MKR1+	TRIG	µV	0	0	MKR1-	n/a	0	bad	None	2048
AH+	MISC	µV	0	0.15	AH-	n/a	0	good	n/a	2048
ECG+	ECG	µV	0	0.15	ECG-	n/a	0	good	n/a	2048
ORB+	EOG	µV	0	0.15	ORB-	n/a	0	good	n/a	2048
emg1+	EMG	µV	0	0.15	emg1-	n/a	0	good	n/a	2048
emg2+	EMG	µV	0	0.15	emg2-	n/a	0	good	n/a	2048
emg3+	EMG	µV	0	0.15	emg3-	n/a	0	good	n/a	2048
thor+	EMG	n/a	0	0	thor-	n/a	0	good	n/a	2048
abdo+	EMG	n/a	0	0	abdo-	n/a	0	good	n/a	2048
MKR2+	TRIG	µV	0	0	MKR2-	n/a	0	good	n/a	2048
