name	type	units	low_cutoff	high_cutoff	reference	group	notch	status	status_description	sampling_frequency	bb_method	bb_bandwidth
OT01	ECOG	uV^2	190	60	car	OT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
OT02	ECOG	uV^2	190	60	car	OT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
OT03	ECOG	uV^2	190	60	car	OT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
OT04	ECOG	uV^2	190	60	car	OT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
OT05	ECOG	uV^2	190	60	car	OT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
OT06	ECOG	uV^2	190	60	car	OT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
OT07	ECOG	uV^2	190	60	car	OT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
OT08	ECOG	uV^2	190	60	car	OT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
OT09	ECOG	uV^2	190	60	car	OT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
OT10	ECOG	uV^2	190	60	car	OT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
OT11	ECOG	uV^2	190	60	car	OT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
OT12	ECOG	uV^2	190	60	car	OT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
OT13	ECOG	uV^2	190	60	car	OT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
OT14	ECOG	uV^2	190	60	car	OT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
OT15	ECOG	uV^2	190	60	car	OT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
OT16	ECOG	uV^2	190	60	car	OT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
BT01	ECOG	uV^2	190	60	car	BT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
BT02	ECOG	uV^2	190	60	car	BT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
BT03	ECOG	uV^2	190	60	car	BT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
BT04	ECOG	uV^2	190	60	car	BT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
BT05	ECOG	uV^2	190	60	car	BT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
BT06	ECOG	uV^2	190	60	car	BT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
BT07	ECOG	uV^2	190	60	car	BT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
BT08	ECOG	uV^2	190	60	car	BT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
BT09	ECOG	uV^2	190	60	car	BT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
BT10	ECOG	uV^2	190	60	car	BT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
BT11	ECOG	uV^2	190	60	car	BT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
BT12	ECOG	uV^2	190	60	car	BT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
BT13	ECOG	uV^2	190	60	car	BT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
BT14	ECOG	uV^2	190	60	car	BT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
BT15	ECOG	uV^2	190	60	car	BT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
BT16	ECOG	uV^2	190	60	car	BT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
vT1	ECOG	uV^2	190	60	car	vT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
vT2	ECOG	uV^2	190	60	car	vT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
vT3	ECOG	uV^2	190	60	car	vT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
vT4	ECOG	uV^2	190	60	car	vT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
vT5	ECOG	uV^2	190	60	car	vT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
vT6	ECOG	uV^2	190	60	car	vT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
vT7	ECOG	uV^2	190	60	car	vT	0	bad	on top of other channels	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
vT8	ECOG	uV^2	190	60	car	vT	0	bad	on top of other channels	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
sT1	ECOG	uV^2	190	60	car	sT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
sT2	ECOG	uV^2	190	60	car	sT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
sT3	ECOG	uV^2	190	60	car	sT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
sT4	ECOG	uV^2	190	60	car	sT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
sT5	ECOG	uV^2	190	60	car	sT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
