name	type	units	low_cutoff	high_cutoff	reference	group	notch	status	status_description	sampling_frequency	bb_method	bb_bandwidth
sT6	ECOG	uV^2	190	60	car	sT	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
sT7	ECOG	uV^2	190	60	car	sT	0	bad	on top of other channels	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
sT8	ECOG	uV^2	190	60	car	sT	0	bad	on top of other channels	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
D1	SEEG	uV^2	190	60	car	D	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
D2	SEEG	uV^2	190	60	car	D	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
D3	SEEG	uV^2	190	60	car	D	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
D4	SEEG	uV^2	190	60	car	D	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
D5	SEEG	uV^2	190	60	car	D	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
D6	SEEG	uV^2	190	60	car	D	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
D7	SEEG	uV^2	190	60	car	D	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
D8	SEEG	uV^2	190	60	car	D	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
P01	ECOG	uV^2	190	60	car	P	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
P02	ECOG	uV^2	190	60	car	P	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
P03	ECOG	uV^2	190	60	car	P	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
P04	ECOG	uV^2	190	60	car	P	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
P05	ECOG	uV^2	190	60	car	P	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
P06	ECOG	uV^2	190	60	car	P	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
P07	ECOG	uV^2	190	60	car	P	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
P08	ECOG	uV^2	190	60	car	P	0	good	n/a	2048	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
MKR1+	TRIG	µV	0	0	MKR1-	n/a	0	bad	None	2048	n/a	n/a
AH+	MISC	µV	0	0.15	AH-	n/a	0	good	n/a	2048	n/a	n/a
ECG+	ECG	µV	0	0.15	ECG-	n/a	0	good	n/a	2048	n/a	n/a
ORB+	EOG	µV	0	0.15	ORB-	n/a	0	good	n/a	2048	n/a	n/a
emg1+	EMG	µV	0	0.15	emg1-	n/a	0	good	n/a	2048	n/a	n/a
emg2+	EMG	µV	0	0.15	emg2-	n/a	0	good	n/a	2048	n/a	n/a
emg3+	EMG	µV	0	0.15	emg3-	n/a	0	good	n/a	2048	n/a	n/a
thor+	EMG	n/a	0	0	thor-	n/a	0	good	n/a	2048	n/a	n/a
abdo+	EMG	n/a	0	0	abdo-	n/a	0	good	n/a	2048	n/a	n/a
MKR2+	TRIG	µV	0	0	MKR2-	n/a	0	good	n/a	2048	n/a	n/a
