name	x	y	z	size	type	material	manufacturer	group	hemisphere
G01	56.726757	19.406355	-32.55854	2.3	surface	platinum	AdTech	grid	R
G02	64.507256	12.288622	-28.19117	2.3	surface	platinum	AdTech	grid	R
G03	70.475685	4.291799	-22.669134	2.3	surface	platinum	AdTech	grid	R
G04	75.34967	-3.659634	-16.997992	2.3	surface	platinum	AdTech	grid	R
G05	77.742538	-12.490591	-12.254488	2.3	surface	platinum	AdTech	grid	R
G06	76.718323	-21.72171	-6.153689	2.3	surface	platinum	AdTech	grid	R
G07	73.882652	-30.259474	-1.087312	2.3	surface	platinum	AdTech	grid	R
G08	71.78595	-38.770546	4.408737	2.3	surface	platinum	AdTech	grid	R
G09	61.634048	25.492323	-23.747896	2.3	surface	platinum	AdTech	grid	R
G10	67.258606	18.045374	-18.858654	2.3	surface	platinum	AdTech	grid	R
G11	71.772148	9.601028	-14.075247	2.3	surface	platinum	AdTech	grid	R
G12	74.42627	0.937032	-8.929491	2.3	surface	platinum	AdTech	grid	R
G13	76.964264	-7.532514	-3.125403	2.3	surface	platinum	AdTech	grid	R
G14	77.252815	-15.896485	2.059791	2.3	surface	platinum	AdTech	grid	R
G15	74.481232	-25.042866	6.975811	2.3	surface	platinum	AdTech	grid	R
G16	72.186195	-34.404419	11.966207	2.3	surface	platinum	AdTech	grid	R
G17	59.917294	30.318607	-14.917811	2.3	surface	platinum	AdTech	grid	R
G18	66.187042	22.493233	-9.299437	2.3	surface	platinum	AdTech	grid	R
G19	70.358154	14.392893	-5.11103	2.3	surface	platinum	AdTech	grid	R
G20	73.246788	6.389702	0.265775	2.3	surface	platinum	AdTech	grid	R
G21	75.256805	-2.170239	6.024359	2.3	surface	platinum	AdTech	grid	R
G22	75.404594	-11.418763	10.792388	2.3	surface	platinum	AdTech	grid	R
G23	73.982864	-20.380911	15.153816	2.3	surface	platinum	AdTech	grid	R
G24	73.095917	-29.559128	20.914736	2.3	surface	platinum	AdTech	grid	R
G25	58.641289	34.631371	-5.213116	2.3	surface	platinum	AdTech	grid	R
G26	64.283463	27.614056	-0.468198	2.3	surface	platinum	AdTech	grid	R
G27	69.309044	19.649694	3.950656	2.3	surface	platinum	AdTech	grid	R
G28	72.257301	10.849525	9.007566	2.3	surface	platinum	AdTech	grid	R
G29	74.363525	2.789206	13.958389	2.3	surface	platinum	AdTech	grid	R
G30	74.193489	-6.779099	19.125198	2.3	surface	platinum	AdTech	grid	R
G31	72.351646	-15.364281	23.681112	2.3	surface	platinum	AdTech	grid	R
G32	73.974716	-24.171062	28.668148	2.3	surface	platinum	AdTech	grid	R
G33	61.503822	40.234489	4.125138	2.3	surface	platinum	AdTech	grid	R
G34	64.95488	33.052258	8.570252	2.3	surface	platinum	AdTech	grid	R
G35	68.258179	24.599779	13.532433	2.3	surface	platinum	AdTech	grid	R
G36	71.935837	16.082495	18.510794	2.3	surface	platinum	AdTech	grid	R
G37	72.653336	7.717755	22.923313	2.3	surface	platinum	AdTech	grid	R
G38	72.861153	-1.647808	27.441591	2.3	surface	platinum	AdTech	grid	R
G39	70.911896	-10.753671	31.868891	2.3	surface	platinum	AdTech	grid	R
G40	72.171158	-19.413767	36.768154	2.3	surface	platinum	AdTech	grid	R
G41	63.515186	46.638569	13.06603	2.3	surface	platinum	AdTech	grid	R
G42	66.029556	37.797855	17.81422	2.3	surface	platinum	AdTech	grid	R
G43	67.204857	29.828846	22.869419	2.3	surface	platinum	AdTech	grid	R
G44	70.121773	21.457323	26.962193	2.3	surface	platinum	AdTech	grid	R
G45	70.251129	12.99882	31.964567	2.3	surface	platinum	AdTech	grid	R
G46	69.452873	3.636643	36.018261	2.3	surface	platinum	AdTech	grid	R
G47	66.781639	-6.215217	40.223694	2.3	surface	platinum	AdTech	grid	R
G48	66.28537	-14.964096	45.22374	2.3	surface	platinum	AdTech	grid	R
G49	60.970428	50.429863	22.047119	2.3	surface	platinum	AdTech	grid	R
G50	63.563786	42.916138	26.926132	2.3	surface	platinum	AdTech	grid	R
G51	65.113739	34.619534	31.77651	2.3	surface	platinum	AdTech	grid	R
G52	63.423264	25.060713	35.508087	2.3	surface	platinum	AdTech	grid	R
G53	65.201591	17.232449	40.139545	2.3	surface	platinum	AdTech	grid	R
G54	63.949154	7.61095	44.502529	2.3	surface	platinum	AdTech	grid	R
G55	61.682049	-1.13667	48.689934	2.3	surface	platinum	AdTech	grid	R
G56	59.727474	-10.12559	52.430882	2.3	surface	platinum	AdTech	grid	R
G57	55.965729	54.145599	31.238474	2.3	surface	platinum	AdTech	grid	R
G58	58.394783	46.190815	35.894386	2.3	surface	platinum	AdTech	grid	R
G59	59.845444	38.321846	40.183559	2.3	surface	platinum	AdTech	grid	R
G60	59.378471	29.906614	44.114754	2.3	surface	platinum	AdTech	grid	R
G61	59.52496	20.774216	47.988544	2.3	surface	platinum	AdTech	grid	R
G62	55.251892	11.42553	51.763836	2.3	surface	platinum	AdTech	grid	R
G63	55.024151	2.609224	55.780037	2.3	surface	platinum	AdTech	grid	R
G64	49.200085	-6.63106	59.139172	2.3	surface	platinum	AdTech	grid	R
AT01	18.110666	28.712486	-34.191822	2.3	surface	platinum	AdTech	strip	R
AT02	25.210518	35.422966	-31.917576	2.3	surface	platinum	AdTech	strip	R
AT03	32.346714	40.888496	-29.331144	2.3	surface	platinum	AdTech	strip	R
AT04	41.754665	42.472347	-24.754129	2.3	surface	platinum	AdTech	strip	R
MT01	15.411553	11.484023	-25.256964	2.3	surface	platinum	AdTech	strip	R
MT02	21.902336	8.979079	-32.552177	2.3	surface	platinum	AdTech	strip	R
MT03	29.98645	6.551817	-36.91861	2.3	surface	platinum	AdTech	strip	R
MT04	41.987381	10.882907	-40.516499	2.3	surface	platinum	AdTech	strip	R
PT01	30.296972	1.009472	-31.986788	2.3	surface	platinum	AdTech	strip	R
PT02	41.250469	-1.399534	-34.072426	2.3	surface	platinum	AdTech	strip	R
PT03	50.380066	-4.767987	-33.306721	2.3	surface	platinum	AdTech	strip	R
PT04	58.815022	-8.825915	-33.740967	2.3	surface	platinum	AdTech	strip	R
OC01	28.986277	-86.786919	11.511332	2.3	surface	platinum	AdTech	strip	R
OC02	37.731453	-82.171532	8.782459	2.3	surface	platinum	AdTech	strip	R
