name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group	description	status	status_description
G01	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G02	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G03	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G04	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G05	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G06	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G07	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G08	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G09	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G10	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G11	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G12	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G13	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G14	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G15	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G16	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G17	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G18	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G19	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G20	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G21	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G22	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G23	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G24	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G25	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G26	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G27	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G28	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G29	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G30	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G31	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G32	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G33	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G34	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G35	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G36	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G37	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G38	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G39	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G40	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G41	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G42	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G43	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G44	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G45	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G46	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G47	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G48	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G49	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G50	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
G51	ECOG	microV	500	0.15	512	n/a	n/a	grid	n/a	good	n/a
