name	x	y	z	size	type	material	manufacturer	group	hemisphere
G01	-34.727749	64.539856	24.497562	2.3	surface	platinum	AdTech	grid	L
G02	-36.383785	57.5979	30.980219	2.3	surface	platinum	AdTech	grid	L
G03	-36.448334	49.705006	36.825413	2.3	surface	platinum	AdTech	grid	L
G04	-35.136765	41.823235	42.717415	2.3	surface	platinum	AdTech	grid	L
G05	-35.774086	33.672447	49.20966	2.3	surface	platinum	AdTech	grid	L
G06	-34.089634	25.257912	54.693069	2.3	surface	platinum	AdTech	grid	L
G07	-30.255207	16.388063	60.342285	2.3	surface	platinum	AdTech	grid	L
G08	-28.153898	8.449646	65.627159	2.3	surface	platinum	AdTech	grid	L
G09	-41.109722	59.857597	17.828768	2.3	surface	platinum	AdTech	grid	L
G10	-42.494678	52.446541	23.866392	2.3	surface	platinum	AdTech	grid	L
G11	-42.683311	44.951832	30.0732	2.3	surface	platinum	AdTech	grid	L
G12	-41.773457	37.052544	36.459198	2.3	surface	platinum	AdTech	grid	L
G13	-44.151981	28.944618	42.899311	2.3	surface	platinum	AdTech	grid	L
G14	-42.966682	20.756882	48.898678	2.3	surface	platinum	AdTech	grid	L
G15	-38.808571	11.751113	54.426125	2.3	surface	platinum	AdTech	grid	L
G16	-38.258354	3.584957	60.788704	2.3	surface	platinum	AdTech	grid	L
G17	-44.243858	53.836983	9.819727	2.3	surface	platinum	AdTech	grid	L
G18	-44.06255	45.478725	16.110796	2.3	surface	platinum	AdTech	grid	L
G19	-45.782574	38.904297	23.013493	2.3	surface	platinum	AdTech	grid	L
G20	-47.671234	30.910885	29.727587	2.3	surface	platinum	AdTech	grid	L
G21	-49.479382	23.349791	36.048153	2.3	surface	platinum	AdTech	grid	L
G22	-49.229404	15.46846	42.84618	2.3	surface	platinum	AdTech	grid	L
G23	-47.192921	7.067978	49.282661	2.3	surface	platinum	AdTech	grid	L
G24	-44.432819	-1.296943	54.64513	2.3	surface	platinum	AdTech	grid	L
G25	-43.072735	45.837872	2.841491	2.3	surface	platinum	AdTech	grid	L
G26	-45.032169	38.877563	9.112846	2.3	surface	platinum	AdTech	grid	L
G27	-47.563957	31.62779	15.478328	2.3	surface	platinum	AdTech	grid	L
G28	-52.051933	24.730465	22.696552	2.3	surface	platinum	AdTech	grid	L
G29	-53.355289	17.53891	28.86849	2.3	surface	platinum	AdTech	grid	L
G30	-54.206966	9.849055	35.868374	2.3	surface	platinum	AdTech	grid	L
G31	-52.11982	0.931314	42.073647	2.3	surface	platinum	AdTech	grid	L
G32	-50.377094	-7.075491	48.039051	2.3	surface	platinum	AdTech	grid	L
G33	-42.208012	38.741459	-4.713756	2.3	surface	platinum	AdTech	grid	L
G34	-46.857426	32.134682	1.466018	2.3	surface	platinum	AdTech	grid	L
G35	-51.227612	25.656908	7.997607	2.3	surface	platinum	AdTech	grid	L
G36	-53.669609	18.075506	15.06489	2.3	surface	platinum	AdTech	grid	L
G37	-56.449238	10.602674	22.089933	2.3	surface	platinum	AdTech	grid	L
G38	-56.267544	3.423121	28.389547	2.3	surface	platinum	AdTech	grid	L
G39	-55.554718	-5.029816	35.360424	2.3	surface	platinum	AdTech	grid	L
G40	-54.714127	-13.140343	41.536011	2.3	surface	platinum	AdTech	grid	L
G41	-45.963909	32.46349	-11.984665	2.3	surface	platinum	AdTech	grid	L
G42	-50.5998	26.130835	-5.749364	2.3	surface	platinum	AdTech	grid	L
G43	-55.423496	19.246874	0.831913	2.3	surface	platinum	AdTech	grid	L
G44	-56.212311	11.889182	7.62169	2.3	surface	platinum	AdTech	grid	L
G45	-59.591946	4.903611	14.57813	2.3	surface	platinum	AdTech	grid	L
G46	-59.250652	-3.096127	21.786936	2.3	surface	platinum	AdTech	grid	L
G47	-56.456886	-11.339154	27.662012	2.3	surface	platinum	AdTech	grid	L
