name	x	y	z	size	type	material	manufacturer	group	hemisphere
GA03	58.708401	5.201991	31.685547	2.3	surface	platinum	AdTech	grid	R
GA04	66.401642	7.092293	23.107512	2.3	surface	platinum	AdTech	grid	R
GA05	69.487099	9.844964	13.661304	2.3	surface	platinum	AdTech	grid	R
GA06	70.90773	11.931836	3.746122	2.3	surface	platinum	AdTech	grid	R
GA09	44.341824	-8.068664	45.362049	2.3	surface	platinum	AdTech	grid	R
GA10	54.557346	-6.033556	38.591175	2.3	surface	platinum	AdTech	grid	R
GA13	71.009819	0.532619	11.994072	2.3	surface	platinum	AdTech	grid	R
GA14	70.845703	2.848309	1.983669	2.3	surface	platinum	AdTech	grid	R
GA15	70.708427	5.612629	-8.631658	2.3	surface	platinum	AdTech	grid	R
GA16	70.376259	7.848662	-18.946468	2.3	surface	platinum	AdTech	grid	R
GA17	48.16753	-17.788116	44.59211	2.3	surface	platinum	AdTech	grid	R
GA18	56.648804	-15.698552	37.373047	2.3	surface	platinum	AdTech	grid	R
GA19	65.009277	-14.026158	29.536562	2.3	surface	platinum	AdTech	grid	R
GA20	67.877419	-11.413337	19.902809	2.3	surface	platinum	AdTech	grid	R
GA21	70.531693	-9.611939	9.798506	2.3	surface	platinum	AdTech	grid	R
GA22	71.274704	-6.54747	-0.024673	2.3	surface	platinum	AdTech	grid	R
GA23	72.393906	-4.083138	-10.293874	2.3	surface	platinum	AdTech	grid	R
GA24	70.983192	-1.85386	-20.627247	2.3	surface	platinum	AdTech	grid	R
GA25	49.133736	-26.724287	43.465771	2.3	surface	platinum	AdTech	grid	R
GA26	56.404541	-25.133024	35.568764	2.3	surface	platinum	AdTech	grid	R
GA27	63.705444	-22.866673	26.795212	2.3	surface	platinum	AdTech	grid	R
GA28	66.732193	-21.196426	16.955553	2.3	surface	platinum	AdTech	grid	R
GA29	69.054207	-18.658661	7.018383	2.3	surface	platinum	AdTech	grid	R
GA30	72.502831	-16.851574	-2.343561	2.3	surface	platinum	AdTech	grid	R
GA31	73.562462	-13.739324	-12.226785	2.3	surface	platinum	AdTech	grid	R
GA32	73.456856	-11.618279	-22.551819	2.3	surface	platinum	AdTech	grid	R
GA33	43.102558	-34.904003	39.156708	2.3	surface	platinum	AdTech	grid	R
GA34	50.561005	-33.219131	31.094366	2.3	surface	platinum	AdTech	grid	R
GA35	57.276802	-31.778912	22.793766	2.3	surface	platinum	AdTech	grid	R
GA36	66.474945	-30.363132	15.057684	2.3	surface	platinum	AdTech	grid	R
GA37	67.999519	-27.804445	5.339155	2.3	surface	platinum	AdTech	grid	R
GA38	73.254234	-26.339027	-4.354969	2.3	surface	platinum	AdTech	grid	R
GA39	74.028465	-23.724398	-14.77683	2.3	surface	platinum	AdTech	grid	R
GA40	71.460533	-20.57036	-24.873737	2.3	surface	platinum	AdTech	grid	R
GA41	47.840084	-44.792484	38.308544	2.3	surface	platinum	AdTech	grid	R
GA42	56.221767	-43.814926	31.243679	2.3	surface	platinum	AdTech	grid	R
GA43	62.668175	-42.488754	22.377333	2.3	surface	platinum	AdTech	grid	R
GA44	67.403641	-39.837139	13.086509	2.3	surface	platinum	AdTech	grid	R
GA45	69.501472	-37.959553	2.943621	2.3	surface	platinum	AdTech	grid	R
GA46	71.655502	-35.233406	-7.167351	2.3	surface	platinum	AdTech	grid	R
GA47	72.825058	-33.406162	-16.665382	2.3	surface	platinum	AdTech	grid	R
GA48	70.920891	-30.387407	-26.924309	2.3	surface	platinum	AdTech	grid	R
GA49	44.865925	-53.467045	36.07003	2.3	surface	platinum	AdTech	grid	R
GA50	52.567993	-52.19751	27.959909	2.3	surface	platinum	AdTech	grid	R
GA51	58.987648	-51.064411	19.361967	2.3	surface	platinum	AdTech	grid	R
GA52	63.630993	-48.781384	10.061559	2.3	surface	platinum	AdTech	grid	R
GA53	66.714806	-47.248333	0.009053	2.3	surface	platinum	AdTech	grid	R
GA54	69.008865	-44.581787	-8.980486	2.3	surface	platinum	AdTech	grid	R
GA55	68.579704	-41.973949	-19.507854	2.3	surface	platinum	AdTech	grid	R
GA56	65.522926	-39.030319	-29.947931	2.3	surface	platinum	AdTech	grid	R
GA57	40.801533	-61.488327	32.104786	2.3	surface	platinum	AdTech	grid	R
GA58	47.448246	-60.483879	24.120123	2.3	surface	platinum	AdTech	grid	R
GA59	53.823372	-58.956604	15.551363	2.3	surface	platinum	AdTech	grid	R
GA60	58.751686	-57.496616	6.101313	2.3	surface	platinum	AdTech	grid	R
GA61	61.826168	-55.573727	-2.97398	2.3	surface	platinum	AdTech	grid	R
GA62	63.627319	-53.17326	-12.992902	2.3	surface	platinum	AdTech	grid	R
GA63	63.18301	-50.659782	-22.914675	2.3	surface	platinum	AdTech	grid	R
GA64	61.092216	-47.64151	-32.917206	2.3	surface	platinum	AdTech	grid	R
AT01	29.012705	39.285534	-46.125694	2.3	surface	platinum	AdTech	strip	R
AT02	38.33353	42.726494	-44.889359	2.3	surface	platinum	AdTech	strip	R
AT03	46.348774	41.568935	-41.608818	2.3	surface	platinum	AdTech	strip	R
AT04	54.645039	34.076183	-38.906189	2.3	surface	platinum	AdTech	strip	R
AT05	58.510853	27.253292	-35.061909	2.3	surface	platinum	AdTech	strip	R
AT06	63.886494	19.660715	-32.84396	2.3	surface	platinum	AdTech	strip	R
MT01	41.398933	21.215439	-61.152874	2.3	surface	platinum	AdTech	strip	R
MT02	51.321854	15.233605	-59.290363	2.3	surface	platinum	AdTech	strip	R
MT03	57.827595	9.064853	-54.054359	2.3	surface	platinum	AdTech	strip	R
MT04	62.586338	3.302819	-46.553761	2.3	surface	platinum	AdTech	strip	R
PT01	26.003441	-14.253659	-38.846279	2.3	surface	platinum	AdTech	strip	R
PT02	35.685524	-18.516169	-43.073925	2.3	surface	platinum	AdTech	strip	R
PT03	46.147274	-21.813623	-45.249218	2.3	surface	platinum	AdTech	strip	R
PT04	56.819996	-22.396503	-44.045143	2.3	surface	platinum	AdTech	strip	R
SF01	19.859539	51.151871	42.34737	2.3	surface	platinum	AdTech	strip	R
SF02	27.635574	44.941311	42.673809	2.3	surface	platinum	AdTech	strip	R
SF03	34.961502	38.306	41.393749	2.3	surface	platinum	AdTech	strip	R
SF04	41.552128	30.199867	41.131214	2.3	surface	platinum	AdTech	strip	R
SF05	48.181278	22.250786	40.201763	2.3	surface	platinum	AdTech	strip	R
SF06	51.326694	13.125038	38.23769	2.3	surface	platinum	AdTech	strip	R
MF01	19.54603	81.112061	15.236543	2.3	surface	platinum	AdTech	strip	R
MF02	25.786695	76.825356	19.69932	2.3	surface	platinum	AdTech	strip	R
MF05	47.532085	54.136093	23.995176	2.3	surface	platinum	AdTech	strip	R
MF06	50.521873	44.49387	25.658953	2.3	surface	platinum	AdTech	strip	R
MF07	54.699924	36.390709	26.567039	2.3	surface	platinum	AdTech	strip	R
MF08	59.319736	26.651958	25.279406	2.3	surface	platinum	AdTech	strip	R
IF01	32.038479	82.439964	-5.153502	2.3	surface	platinum	AdTech	strip	R
IF02	40.730869	78.775116	-2.256359	2.3	surface	platinum	AdTech	strip	R
IF05	56.904385	54.682392	3.90483	2.3	surface	platinum	AdTech	strip	R
IF06	61.10498	44.811913	6.7927	2.3	surface	platinum	AdTech	strip	R
IF07	63.641327	35.117336	9.843127	2.3	surface	platinum	AdTech	strip	R
IF08	66.949814	25.316057	11.293254	2.3	surface	platinum	AdTech	strip	R
P01	8.844298	-50.772392	39.150249	2.3	surface	platinum	AdTech	strip	R
P02	14.227354	-56.492397	49.403927	2.3	surface	platinum	AdTech	strip	R
P03	26.6752	-52.294041	49.439873	2.3	surface	platinum	AdTech	strip	R
P04	34.02285	-47.372269	48.786438	2.3	surface	platinum	AdTech	strip	R
