name	x	y	z	size	type	material	manufacturer	group	hemisphere
G01	-19.981468	-33.258404	67.28434	2.3	surface	platinum	AdTech	grid	L
G02	-24.26232	-41.62981	62.590969	2.3	surface	platinum	AdTech	grid	L
G03	-25.739073	-49.825375	56.45393	2.3	surface	platinum	AdTech	grid	L
G04	-31.153128	-58.913227	51.990047	2.3	surface	platinum	AdTech	grid	L
G05	-30.203733	-66.01165	44.816525	2.3	surface	platinum	AdTech	grid	L
G06	-27.737938	-72.017418	36.571278	2.3	surface	platinum	AdTech	grid	L
G07	-24.127668	-77.60228	28.974874	2.3	surface	platinum	AdTech	grid	L
G08	-19.158602	-82.101822	20.571381	2.3	surface	platinum	AdTech	grid	L
G09	-29.341492	-29.4687	64.121292	2.3	surface	platinum	AdTech	grid	L
G10	-34.283844	-38.774746	59.216522	2.3	surface	platinum	AdTech	grid	L
G11	-37.152218	-46.614517	53.389374	2.3	surface	platinum	AdTech	grid	L
G12	-40.428825	-55.569244	47.750313	2.3	surface	platinum	AdTech	grid	L
G13	-39.67123	-62.278316	40.683186	2.3	surface	platinum	AdTech	grid	L
G14	-37.907795	-68.95443	33.213966	2.3	surface	platinum	AdTech	grid	L
G15	-35.073135	-74.558052	25.056944	2.3	surface	platinum	AdTech	grid	L
G16	-30.161697	-79.696976	16.913374	2.3	surface	platinum	AdTech	grid	L
G17	-38.963333	-25.805155	60.710014	2.3	surface	platinum	AdTech	grid	L
G18	-42.114719	-33.925938	54.867592	2.3	surface	platinum	AdTech	grid	L
G19	-47.293369	-42.93264	49.932281	2.3	surface	platinum	AdTech	grid	L
G20	-49.071476	-50.977337	43.586205	2.3	surface	platinum	AdTech	grid	L
G21	-47.458637	-57.630863	35.62289	2.3	surface	platinum	AdTech	grid	L
G22	-45.899166	-64.657219	28.115721	2.3	surface	platinum	AdTech	grid	L
G23	-43.096554	-70.79641	20.01137	2.3	surface	platinum	AdTech	grid	L
G24	-38.688225	-75.423668	11.632825	2.3	surface	platinum	AdTech	grid	L
G25	-44.792671	-21.050507	55.986877	2.3	surface	platinum	AdTech	grid	L
G26	-50.411427	-30.032537	51.069611	2.3	surface	platinum	AdTech	grid	L
G27	-53.193859	-38.267681	44.713455	2.3	surface	platinum	AdTech	grid	L
G28	-55.250156	-45.72237	38.335762	2.3	surface	platinum	AdTech	grid	L
G29	-53.438831	-52.699078	30.098228	2.3	surface	platinum	AdTech	grid	L
G30	-51.207382	-58.745667	22.700056	2.3	surface	platinum	AdTech	grid	L
G31	-48.17345	-64.644737	14.370674	2.3	surface	platinum	AdTech	grid	L
G32	-44.657696	-70.125511	5.99878	2.3	surface	platinum	AdTech	grid	L
G33	-50.924458	-16.332794	50.764336	2.3	surface	platinum	AdTech	grid	L
G34	-55.841896	-24.410698	45.478176	2.3	surface	platinum	AdTech	grid	L
G35	-58.616604	-32.502346	39.393566	2.3	surface	platinum	AdTech	grid	L
G36	-60.376678	-40.001118	32.773598	2.3	surface	platinum	AdTech	grid	L
G37	-58.479191	-46.842308	25.13274	2.3	surface	platinum	AdTech	grid	L
G38	-56.438656	-52.830776	17.009907	2.3	surface	platinum	AdTech	grid	L
G39	-52.935879	-59.246937	8.056774	2.3	surface	platinum	AdTech	grid	L
G40	-48.189953	-63.929913	-0.157974	2.3	surface	platinum	AdTech	grid	L
G41	-55.05241	-10.292053	45.238304	2.3	surface	platinum	AdTech	grid	L
G42	-59.227669	-18.857899	39.683243	2.3	surface	platinum	AdTech	grid	L
G43	-62.917999	-26.829998	33.450665	2.3	surface	platinum	AdTech	grid	L
G44	-63.47171	-33.939053	26.204611	2.3	surface	platinum	AdTech	grid	L
G45	-62.56971	-41.034363	18.918015	2.3	surface	platinum	AdTech	grid	L
G46	-60.738613	-47.138733	11.168457	2.3	surface	platinum	AdTech	grid	L
G47	-58.218384	-53.357544	2.378929	2.3	surface	platinum	AdTech	grid	L
G48	-52.747036	-58.129635	-5.902559	2.3	surface	platinum	AdTech	grid	L
G49	-56.837448	-4.451767	39.289246	2.3	surface	platinum	AdTech	grid	L
G50	-60.32481	-12.246118	33.435818	2.3	surface	platinum	AdTech	grid	L
G51	-63.932293	-20.219915	26.535721	2.3	surface	platinum	AdTech	grid	L
G52	-65.018082	-27.095989	20.241503	2.3	surface	platinum	AdTech	grid	L
G53	-64.751694	-34.12228	12.000466	2.3	surface	platinum	AdTech	grid	L
G54	-63.225502	-40.74551	4.327212	2.3	surface	platinum	AdTech	grid	L
